nominal,nominal,nominal,nominal,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,ordinal / absolute,,,,,,,,
Maplewoodcity,MN,123,40382,?,?,?,7,?,5933.23,,,,,,,,
Enfieldtown,CT,3,25990,?,0,0,7,89.94,3130.42,,,,,,,,
Glendalecity,CA,?,?,5,30,16.72,73,374.07,4246.34,,,,,,,,
Worthingtoncity,OH,?,?,?,2,13.24,4,112.5,3540.47,,,,,,,,
Arlingtoncity,TX,?,?,10,146,49.94,97,772.77,6171.23,,,,,,,,
Plymouthcity,MN,53,51730,?,?,?,62,?,3131.33,,,,,,,,
NewYorkcity,NY,?,?,5,2818,38.5,4443,2097.71,6164.95,,,,,,,,
Marinacity,CA,?,?,?,9,58.03,5,644.75,5338.49,,,,,,,,
Lebanoncity,NH,9,41300,?,1,8.07,4,145.2,5461,,,,,,,,
Rockledgecity,FL,?,?,?,10,55.52,2,560.71,5618.16,,,,,,,,
Rogerscity,AR,?,?,?,9,29.18,6,204.23,4869.19,,,,,,,,
Bellairecity,TX,?,?,?,2,13.38,1,347.97,3693.79,,,,,,,,
ElCajoncity,CA,?,?,?,42,45.1,31,894.51,7091.62,,,,,,,,
MosesLakecity,WA,?,?,?,20,145.72,8,1143.9,9143.9,,,,,,,,
WestMemphiscity,AR,?,?,?,24,86.13,0,724.95,4421.48,,,,,,,,
Eunicecity,LA,?,?,?,2,17.4,1,1487.34,4722.97,,,,,,,,
Laredocity,TX,?,?,0,7,4.58,80,689.42,5948.83,,,,,,,,
Amsterdamcity,NY,57,2066,?,3,14.98,?,49.93,?,,,,,,,,
Gorhamtown,ME,5,28240,?,0,0,0,16.72,919.73,,,,,,,,
RockSpringscity,WY,?,?,?,14,68.92,0,649.83,5764.78,,,,,,,,
Oakdalecity,CA,?,?,?,4,28.91,13,346.97,5255.17,,,,,,,,
Hendersoncity,NC,?,?,?,3,18.38,10,1770.94,11428.4,,,,,,,,
Norcocity,CA,?,?,?,4,16.15,15,609.81,4458.44,,,,,,,,
Greenvillecity,MS,?,?,?,34,76.4,57,559.55,10379.78,,,,,,,,
SanCarloscity,CA,?,?,?,1,3.54,0,205.56,2810.46,,,,,,,,
SanAngelocity,TX,?,?,0,43,47.57,?,512.19,?,,,,,,,,
Barbertoncity,OH,153,3828,?,7,25.08,19,734.61,4672.83,,,,,,,,
Pontiaccity,MI,125,65440,10,?,?,60,?,6269.29,,,,,,,,
Suffolkcity,VA,800,76432,?,37,66.7,26,919.33,5227.58,,,,,,,,
Martinsvillecity,VA,690,49784,?,7,43.81,9,682.23,7554.61,,,,,,,,
Bricktownship,NJ,29,7420,?,9,13.15,14,131.47,2543.13,,,,,,,,
LagunaBeachcity,CA,?,?,?,5,20.8,3,794.41,5939.36,,,,,,,,
Robstowncity,TX,?,?,?,1,7.38,8,420.91,5095.26,,,,,,,,
Wyomingcity,MI,81,88940,?,?,?,13,?,4869.53,,,,,,,,
Hastingscity,MN,37,27530,?,?,?,1,?,3207.26,,,,,,,,
Paragouldcity,AR,?,?,?,9,41.81,1,92.91,3121.66,,,,,,,,
BeverlyHillscity,CA,?,?,0,8,24.03,14,1087.25,7394.5,,,,,,,,
UniversityHeightscity,OH,35,78932,?,2,13.97,0,237.45,1948.46,,,,,,,,
Marioncity,OH,?,?,?,16,46.03,3,212.87,6403.36,,,,,,,,
Toledocity,OH,95,77000,5,357,110.19,357,984.96,7910.25,,,,,,,,
Philadelphiacity,PA,101,60000,0,785,51.31,2282,1279.6,5253.14,,,,,,,,
Newtoncity,MA,17,45560,?,11,12.82,0,256.34,2556.39,,,,,,,,
OrmondBeachcity,FL,?,?,?,10,31.02,0,142.7,4091.83,,,,,,,,
Lynchburgcity,VA,680,47672,0,45,67,50,753.42,4630.73,,,,,,,,
Clintoncity,MS,?,?,?,0,0,5,122.69,2721.06,,,,,,,,
Andersoncity,SC,?,?,?,15,50.34,3,1849.3,6474.24,,,,,,,,
Mesquitecity,TX,?,?,0,33,28.5,93,566.64,?,,,,,,,,
ParkForestvillage,IL,?,?,?,?,?,4,?,3012.5,,,,,,,,
ChippewaFallscity,WI,17,14575,?,2,14.83,4,51.91,3374.37,,,,,,,,
Beavercreekcity,OH,?,?,?,3,7.91,26,94.97,3498.22,,,,,,,,
Keenecity,NH,5,39300,?,23,102.18,14,422.05,4567.06,,,,,,,,
Springfieldtownship,OH,23,74119,?,15,37.91,13,452.4,3389.19,,,,,,,,
Swissvaleborough,PA,3,75816,?,5,47.34,9,407.12,3739.82,,,,,,,,
Knoxvillecity,TN,?,?,0,102,59.32,173,1693.42,6179.34,,,,,,,,
Kernersvilletown,NC,?,?,?,1,7.46,1,462.24,5956.91,,,,,,,,
Bloomingtoncity,MN,53,6616,?,?,?,?,?,?,,,,,,,,
ScotchPlainstownship,NJ,39,66060,?,3,13.82,2,115.14,2160.1,,,,,,,,
Newingtontown,CT,3,52140,?,4,13.68,1,78.65,3553.11,,,,,,,,
Moberlycity,MO,?,?,?,8,63.04,1,985.03,4767.53,,,,,,,,
Sandycity,UT,?,?,?,13,14.89,5,131.68,3715.75,,,,,,,,
Wheatoncity,IL,?,?,?,?,?,3,?,2395.42,,,,,,,,
WhiteLaketownship,MI,125,86860,?,?,?,9,?,3577.58,,,,,,,,
Chickashacity,OK,?,?,?,11,72.14,7,1134.5,5292.15,,,,,,,,
Tucsoncity,AZ,?,?,5,314,69.78,162,969.6,9943.53,,,,,,,,
Gallowaytownship,NJ,1,25560,?,5,20.94,7,251.24,3668.03,,,,,,,,
Sweetwatercity,TX,?,?,?,7,57.36,5,934.12,5735.82,,,,,,,,
Portsmouthcity,NH,15,62900,?,31,148.32,9,377.97,4550.02,,,,,,,,
Hulltown,MA,23,31645,?,6,53.92,3,889.65,2039.9,,,,,,,,
Scotttownship,PA,3,68388,?,1,5.74,3,40.21,1654.22,,,,,,,,
Pittsfieldtownship,MI,161,64560,?,?,?,7,?,8642.72,,,,,,,,
Duncanvillecity,TX,?,?,?,19,51.17,16,465.96,5063.56,,,,,,,,
Mexicocity,MO,?,?,?,1,8.83,0,150.04,2338.92,,,,,,,,
NewProvidenceborough,NJ,39,51810,?,0,0,2,49.56,1032.55,,,,,,,,
Barnstabletown,MA,1,3635,?,22,51.39,0,1812.62,3277.2,,,,,,,,
Rutherfordborough,NJ,3,65280,?,2,11.23,2,129.13,2094.09,,,,,,,,
Portlandcity,OR,?,?,5,479,104.44,604,1841.38,9577.37,,,,,,,,
Manassascity,VA,683,48952,?,10,31.06,6,301.31,4038.14,,,,,,,,
Torrancecity,CA,?,?,10,30,21.6,54,620.53,5352.95,,,,,,,,
SouthJordancity,UT,?,?,?,2,11.57,0,190.84,3302.11,,,,,,,,
RedwoodCitycity,CA,?,?,?,15,22.02,2,726.59,4174.62,,,,,,,,
Lancastertownship,PA,71,41224,?,0,0,3,74.56,3183.72,,,,,,,,
Algonquinvillage,IL,?,?,?,?,?,6,?,1961.98,,,,,,,,
Sebastiancity,FL,?,?,?,2,17,0,339.96,3739.59,,,,,,,,
GrandForkscity,ND,35,32060,?,19,37.7,14,121.02,5247.7,,,,,,,,
NewHaventown,CT,9,52070,5,130,108.69,134,2127.02,10988.76,,,,,,,,
Westwegocity,LA,?,?,?,4,36.38,2,809.39,6620.59,,,,,,,,
Doltonvillage,IL,?,?,?,?,?,1,?,6324.43,,,,,,,,
Munstertown,IN,?,?,?,2,9.72,1,199.2,2992.91,,,,,,,,
Newberrytown,SC,?,?,?,5,47.14,1,1527.29,5317.24,,,,,,,,
NorthTonawandacity,NY,63,53682,?,1,3.04,3,85.17,2570.42,,,,,,,,
Redlandscity,CA,?,?,?,21,32.38,16,727.83,4976.1,,,,,,,,
Avondalecity,AZ,?,?,?,9,42.11,16,781.32,7265.84,,,,,,,,
Lafayettecity,CO,?,?,?,0,0,7,367.13,3885.91,,,,,,,,
Oshkoshcity,WI,139,60500,?,19,33.52,10,155.25,5691.4,,,,,,,,
Tukwilacity,WA,?,?,?,41,320.61,14,1634.34,24116.36,,,,,,,,
Dublincity,CA,?,?,?,1,3.81,2,251.23,2561.76,,,,,,,,
Breacity,CA,?,?,?,5,14.35,16,367.33,5934.68,,,,,,,,
NorthAugustacity,SC,?,?,?,3,16.99,1,560.56,4218.33,,,,,,,,
Tallahasseecity,FL,?,?,5,137,100.91,30,1981.45,12349.83,,,,,,,,
Princetonborough,NJ,21,60900,?,0,0,1,83.89,5041.52,,,,,,,,
Menomoniecity,WI,33,51025,?,2,13.29,3,39.87,6199.75,,,,,,,,
Sturgiscity,MI,149,76960,?,?,?,2,?,3673.66,,,,,,,,
Alpharettacity,GA,?,?,?,0,0,0,60.9,2243.88,,,,,,,,
Jeffersontownship,NJ,27,34980,?,0,0,2,70.4,1348.5,,,,,,,,
StevensPointcity,WI,97,77200,?,9,41.98,10,242.54,6436.57,,,,,,,,
Woodlandcity,CA,?,?,?,29,67.42,47,574.24,4296.38,,,,,,,,
NorthBrunswicktownship,NJ,23,52560,?,7,21.47,8,288.37,3647.57,,,,,,,,
Springfieldcity,OH,23,74118,0,59,83.45,6,1497.92,7742.79,,,,,,,,
Richfieldcity,MN,53,54214,?,?,?,5,?,4805.2,,,,,,,,
Corsicanacity,TX,?,?,?,28,119.98,21,681.32,7241.72,,,,,,,,
Wabashcity,IN,?,?,?,2,16.18,1,194.19,2330.29,,,,,,,,
Woostercity,OH,169,86548,?,8,35.33,7,185.48,3978.98,,,,,,,,
LosAngelescity,CA,?,?,5,1773,51.15,5119,2414.77,6756.86,,,,,,,,
Harrisontown,NJ,17,30210,?,5,37.76,1,581.57,5188.82,,,,,,,,
Swanseatown,MA,5,68750,?,0,0,29,197,2074.61,,,,,,,,
Superiorcity,WI,31,78650,?,17,61.22,29,273.7,6766.78,,,,,,,,
Monroecity,MI,115,55020,?,?,?,13,?,4272.31,,,,,,,,
Madisontownship,OH,49,46410,?,5,23.62,9,240.92,2078.51,,,,,,,,
Seasidecity,CA,?,?,?,9,27.82,21,1085.11,3610.84,,,,,,,,
Grapevinecity,TX,?,?,?,16,42.82,14,291.69,2860.66,,,,,,,,
Columbiacity,MO,?,?,?,30,40.15,30,587.55,5753.71,,,,,,,,
Lebanoncity,OR,?,?,?,1,8.34,0,650.49,9215.24,,,,,,,,
WestChesterborough,PA,29,82704,?,4,21.17,6,465.66,4402.58,,,,,,,,
Eatontownborough,NJ,25,19840,?,0,0,0,221.64,5411.19,,,,,,,,
Parkersburgcity,WV,?,?,?,12,36.13,37,216.8,3824.15,,,,,,,,
Spokanecity,WA,?,?,10,112,57.16,74,795.08,7383.29,,,,,,,,
Durangocity,CO,?,?,?,10,70.93,0,361.75,7653.57,,,,,,,,
Aberdeencity,WA,?,?,?,28,163.47,27,525.42,8762.92,,,,,,,,
Sumtercity,SC,?,?,?,22,51.31,2,1462.29,6068.38,,,,,,,,
Burrillvilletown,RI,7,11800,?,1,5.97,1,89.61,1153,,,,,,,,
AnnArborcity,MI,161,3000,0,?,?,35,?,4960.52,,,,,,,,
Derrytown,NH,15,17940,?,40,133.72,31,227.32,3309.49,,,,,,,,
Daniacity,FL,?,?,?,20,141.32,7,2649.8,15920.01,,,,,,,,
Salemcity,OH,?,?,?,0,0,1,46.52,806.39,,,,,,,,
Greendalevillage,WI,79,31125,?,1,6.78,0,74.62,4782.25,,,,,,,,
UnionCitycity,NJ,17,74630,0,23,40.64,7,871.02,4621.91,,,,,,,,
FosterCitycity,CA,?,?,?,1,3.38,6,185.69,2386.9,,,,,,,,
Flintcity,MI,49,29000,5,?,?,338,?,10343.04,,,,,,,,
NewBrunswickcity,NJ,23,51210,0,18,43.39,19,1501.93,7502.41,,,,,,,,
Houmacity,LA,?,?,?,14,44.43,4,1450.47,3980.07,,,,,,,,
EastPaloAltocity,CA,?,?,?,11,42.35,37,2344.56,4180.94,,,,,,,,
Brentwoodcity,TN,?,?,?,8,37.07,0,64.88,2335.71,,,,,,,,
LeagueCitycity,TX,?,?,?,9,23.81,0,129.64,3463.15,,,,,,,,
NewIberiacity,LA,?,?,?,16,47.24,?,345.46,?,,,,,,,,
Astontownship,PA,45,3336,?,5,32.6,6,267.33,2008.22,,,,,,,,
GloucesterCitycity,NJ,7,26820,?,5,40.23,0,160.93,3154.17,,,,,,,,
Shalertownship,PA,3,69584,?,1,3.22,1,80.5,1236.48,,,,,,,,
Arnoldcity,MO,?,?,?,2,9.87,4,399.86,3134.72,,,,,,,,
Goshentownship,OH,25,31010,?,1,7.67,1,69,1694.27,,,,,,,,
Chestercity,PA,45,13208,?,53,134.07,62,4877.06,8770.11,,,,,,,,
UnionCitycity,TN,?,?,?,7,63.69,7,919.02,9190.17,,,,,,,,
Tampacity,FL,?,?,10,247,85.21,214,3235.45,12490.6,,,,,,,,
Dallascity,TX,?,?,5,1000,95.96,1324,1744.19,9015.27,,,,,,,,
Searcycity,AR,?,?,?,6,32.78,0,76.49,3999.56,,,,,,,,
Bellinghamcity,WA,?,?,?,45,77.51,31,339.31,17859.42,,,,,,,,
BullheadCitycity,AZ,?,?,?,9,32,19,807,7341.18,,,,,,,,
CulverCitycity,CA,?,?,?,7,17.73,1,932.05,5891.14,,,,,,,,
Newbergcity,OR,?,?,?,5,33.58,6,235.04,4378.48,,,,,,,,
Readingcity,PA,11,63624,10,42,53.59,52,1195.53,7043.06,,,,,,,,
Rustoncity,LA,?,?,?,1,4.94,4,1293.95,9116.95,,,,,,,,
Richmondcity,CA,?,?,10,82,92.77,112,3239.2,8497.95,,,,,,,,
Methuentown,MA,9,40675,?,20,48.56,8,364.19,4681.09,,,,,,,,
Florissantcity,MO,?,?,?,6,11.57,11,179.38,2659.8,,,,,,,,
WestFargocity,ND,17,84780,?,4,28.91,6,43.37,3259.85,,,,,,,,
Douglascity,AZ,?,?,?,0,0,0,161.69,6854.13,,,,,,,,
Selmacity,AL,?,?,?,39,156.97,?,3268.26,?,,,,,,,,
Nortoncity,OH,153,57260,?,0,0,4,168.99,2729.19,,,,,,,,
Missioncity,TX,?,?,?,2,5.11,16,178.75,5709.91,,,,,,,,
Middletownship,NJ,9,45810,?,10,66.14,4,231.48,4027.78,,,,,,,,
MountLaureltownship,NJ,5,49020,?,4,12.91,2,103.28,2149.5,,,,,,,,
Greeleycity,CO,?,?,?,20,30.4,41,203.69,6443.62,,,,,,,,
CostaMesacity,CA,?,?,5,30,30.33,26,448.84,7247.12,,,,,,,,
LosAlamitoscity,CA,?,?,?,3,24.85,17,356.17,4472.79,,,,,,,,
SouthOrangeVillagetownship,NJ,13,69274,?,2,12.01,0,672.35,7311.8,,,,,,,,
RedBluffcity,CA,?,?,?,6,44.94,9,981.2,7182.98,,,,,,,,
Plainfieldtown,IN,?,?,?,7,44.38,2,190.21,2675.63,,,,,,,,
Fredericksburgcity,VA,630,29744,?,9,40.21,12,446.77,3471.38,,,,,,,,
Colleyvillecity,TX,?,?,?,1,5.29,1,31.75,1423.43,,,,,,,,
Pittsburgcity,CA,?,?,?,18,34.42,18,868.12,4843.49,,,,,,,,
MissionViejocity,CA,?,?,?,13,15.43,35,225.56,2945.37,,,,,,,,
LongBeachcity,CA,?,?,5,200,45.87,243,1631.98,6595.13,,,,,,,,
Duluthcity,MN,137,17000,10,?,?,14,?,5198.1,,,,,,,,
Shelbycity,NC,?,?,?,12,74.69,7,1419.06,8956.25,,,,,,,,
Coronacity,CA,?,?,?,28,29.99,23,519.47,6434.96,,,,,,,,
Beverlycity,MA,9,5595,?,4,10.27,4,87.26,3174.56,,,,,,,,
CoralSpringscity,FL,?,?,5,18,19.14,4,294.6,4176.5,,,,,,,,
NorthBranfordtown,CT,9,53890,?,1,7.6,0,53.2,1968.23,,,,,,,,
Geneseetownship,MI,49,31800,?,?,?,9,?,3470.01,,,,,,,,
SanBrunocity,CA,?,?,?,8,19.63,10,282.16,4480.21,,,,,,,,
Valdostacity,GA,?,?,?,17,37.19,3,958.15,6354.87,,,,,,,,
OklahomaCitycity,OK,?,?,5,515,110.46,420,1389.87,9710.83,,,,,,,,
PortLavacacity,TX,?,?,?,3,25.49,6,1240.65,5319.51,,,,,,,,
Alicecity,TX,?,?,?,8,38.55,22,674.67,6809.31,,,,,,,,
Sterlingcity,CO,?,?,?,2,18.94,2,161.02,4328.47,,,,,,,,
Coronadocity,CA,?,?,?,3,13.67,9,332.73,4193.25,,,,,,,,
Bremertoncity,WA,?,?,?,43,99.97,6,620.71,4840.17,,,,,,,,
RapidCitycity,SD,103,52980,?,45,77.26,?,442.93,?,,,,,,,,
LaPalmacity,CA,?,?,?,2,12.43,12,372.95,4090,,,,,,,,
Glenviewvillage,IL,?,?,?,?,?,0,?,2405.2,,,,,,,,
Dinubacity,CA,?,?,?,3,22.02,1,587.33,4977.61,,,,,,,,
TempleTerracecity,FL,?,?,?,0,0,0,210.79,3812.33,,,,,,,,
Bendcity,OR,?,?,?,10,41.02,8,500.47,9463.84,,,,,,,,
Bernardstownship,NJ,35,5560,?,0,0,0,75.72,1216.94,,,,,,,,
Pocatellocity,ID,?,?,?,34,66.73,10,345.45,4100.26,,,,,,,,
Clearlakecity,CA,?,?,?,11,83.97,13,1687.02,8763.36,,,,,,,,
Gulfportcity,MS,?,?,?,29,43.69,21,394.74,4197.55,,,,,,,,
Fremontcity,OH,143,28826,?,5,27.45,7,340.43,5221.83,,,,,,,,
Midlandcity,MI,111,53780,?,?,?,6,?,2747.06,,,,,,,,
Laurelcity,MS,?,?,?,15,76.69,8,?,8890.59,,,,,,,,
MountVernoncity,NY,119,49121,?,31,47.15,27,1446.56,5381.64,,,,,,,,
Raytowncity,MO,?,?,?,6,19.87,23,271.52,3533.11,,,,,,,,
Natchitochescity,LA,?,?,?,8,47.43,0,788.52,6474.18,,,,,,,,
Lebanoncity,OH,165,42364,?,20,170.98,1,393.26,4719.16,,,,,,,,
Pariscity,TX,?,?,?,21,83.96,14,1783.14,9719.33,,,,,,,,
Hawthorneborough,NJ,31,30570,?,5,27.52,0,77.05,2140.89,,,,,,,,
DeSotocity,TX,?,?,?,9,25.31,9,275.58,4729.9,,,,,,,,
SunPrairiecity,WI,25,78600,?,4,22.79,6,74.08,4348.07,,,,,,,,
Hendersonvillecity,TN,?,?,?,11,29.57,1,400.56,2510.89,,,,,,,,
BoyntonBeachcity,FL,?,?,?,15,28.84,6,1357.38,7225.26,,,,,,,,
Raritantownship,NJ,19,61920,?,1,6.26,0,56.31,2239.74,,,,,,,,
TraverseCitycity,MI,55,80340,?,?,?,2,?,4853.32,,,,,,,,
Rockwallcity,TX,?,?,?,4,28.67,7,394.21,3168,,,,,,,,
Meridiancity,MS,?,?,?,19,44.13,10,445.94,4287.54,,,,,,,,
NewPortRicheycity,FL,?,?,?,0,0,4,522.13,6363.4,,,,,,,,
LowerAllentownship,PA,41,44832,?,2,12.89,0,96.69,2604.1,,,,,,,,
Willingborotownship,NJ,5,81440,?,10,26.92,18,293.41,3459.04,,,,,,,,
RidgefieldParkvillage,NJ,3,62940,?,0,0,1,71.54,1438.79,,,,,,,,
Emmetttownship,MI,25,25950,?,?,?,16,?,5453.07,,,,,,,,
Hinghamtown,MA,23,30210,?,3,14.23,0,37.95,2334.19,,,,,,,,
ElDoradocity,AR,?,?,?,11,45.49,3,516.96,6273.78,,,,,,,,
Westbrookcity,ME,5,82105,?,4,25.4,6,82.54,4387.58,,,,,,,,
Newburghcity,NY,71,50034,?,26,101.33,22,1555.07,5214.75,,,,,,,,
Butlertownship,PA,19,10472,?,3,11.35,0,52.95,1879.8,,,,,,,,
Lindencity,NJ,39,40350,0,8,21.77,16,530.57,4674.45,,,,,,,,
Kalamazoocity,MI,77,42160,0,?,?,85,?,7203.5,,,,,,,,
ForestParkcity,GA,?,?,?,13,77.8,14,1358.47,10029.92,,,,,,,,
Viennatown,VA,?,?,?,3,18.81,4,94.07,2966.26,,,,,,,,
Westfieldtown,NJ,39,79040,?,2,6.78,1,88.16,2170.08,,,,,,,,
GrandTerracecity,CA,?,?,?,5,42.8,0,316.75,5624.52,,,,,,,,
Carsoncity,CA,?,?,?,28,30.95,44,1267.73,4148.02,,,,,,,,
Berkeleytownship,NJ,29,5300,?,3,7.81,7,106.68,2016.5,,,,,,,,
Auburncity,NY,11,3078,?,10,32.54,2,191.96,3702.5,,,,,,,,
Hilliardcity,OH,?,?,?,6,35.72,12,142.9,3876.15,,,,,,,,
Davietown,FL,?,?,?,21,36.09,5,536.18,6743.54,,,,,,,,
Greenfieldtown,MA,11,27025,?,17,89.76,0,1678.99,4102.43,,,,,,,,
Weirtoncity,WV,?,?,?,3,13.92,3,241.28,2032.29,,,,,,,,
Lenoircity,NC,?,?,?,5,33.55,7,972.89,7722.76,,,,,,,,
Independencecity,KY,?,?,?,2,18.13,0,90.65,2085.03,,,,,,,,
Lomitacity,CA,?,?,?,3,14.42,6,1287.84,3061.03,,,,,,,,
Milfordtown,CT,9,47535,0,7,14.26,5,136.48,5457.1,,,,,,,,
Kokomocity,IN,?,?,5,28,60.3,5,488.86,5127.6,,,,,,,,
WestMonroecity,LA,?,?,?,6,41.55,8,609.46,8899.51,,,,,,,,
RedWingcity,MN,49,53620,?,?,?,5,?,4852.11,,,,,,,,
RedondoBeachcity,CA,?,?,?,17,26.33,3,599.45,5636.7,,,,,,,,
Leesburgcity,FL,?,?,?,16,81.16,4,2018.97,6665.65,,,,,,,,
Sanfordtown,ME,31,65760,?,0,0,0,33.66,3322.75,,,,,,,,
Mariettacity,OH,167,47628,?,9,59.12,0,216.78,4920.19,,,,,,,,
LakeOswegocity,OR,?,?,?,7,20.76,16,136.4,2570.87,,,,,,,,
Renocity,NV,?,?,5,129,84.7,72,687.49,6957.6,,,,,,,,
Johnstontown,RI,7,37720,?,1,3.65,5,91.31,3360.24,,,,,,,,
GlendaleHeightsvillage,IL,?,?,?,?,?,3,?,2695.95,,,,,,,,
Rockfordcity,IL,?,?,?,?,?,58,?,9522.57,,,,,,,,
LaPuentecity,CA,?,?,?,18,45.89,6,1664.84,3049.23,,,,,,,,
WalnutCreekcity,CA,?,?,?,10,16.04,23,293.54,4252.35,,,,,,,,
Wausaucity,WI,73,84475,?,6,15.34,6,48.58,3809.48,,,,,,,,
UpperDarbytownship,PA,45,79000,?,12,14.53,1,283.39,3105.21,,,,,,,,
Louisvillecity,CO,?,?,?,2,11.21,1,302.76,2315.54,,,,,,,,
Napervillecity,IL,?,?,?,?,?,19,?,2639.54,,,,,,,,
Hollistercity,CA,?,?,?,1,4.52,26,918.22,4758.46,,,,,,,,
SaddleBrooktownship,NJ,3,65340,?,2,14.41,1,86.45,3385.92,,,,,,,,
Newportcity,RI,5,49960,0,16,66.54,43,1185.33,8754.78,,,,,,,,
Quincycity,MA,21,55745,?,24,28.4,21,369.24,3235.58,,,,,,,,
Eagancity,MN,37,17288,?,?,?,10,?,3238.42,,,,,,,,
MapleGrovecity,MN,53,40166,?,?,?,5,?,2743.68,,,,,,,,
RockHillcity,SC,?,?,?,23,48.81,5,2047.92,6650.96,,,,,,,,
Arvadacity,CO,?,?,10,19,19.42,27,266.81,3574.9,,,,,,,,
Monroecity,WI,45,53750,?,1,9.4,5,84.64,3348.07,,,,,,,,
YubaCitycity,CA,?,?,?,23,70.54,9,644.09,7560.42,,,,,,,,
Pawtucketcity,RI,7,54640,5,29,42.33,14,458.28,5702.23,,,,,,,,
Wichitacity,KS,173,79000,5,265,84.5,?,874.69,?,,,,,,,,
Denvilletownship,NJ,27,17650,?,1,6.99,0,160.76,1579.65,,,,,,,,
Lancastercity,OH,45,41720,?,3,8.44,0,?,4127.54,,,,,,,,
Perriscity,CA,?,?,?,17,55.72,58,1379.97,6667.1,,,,,,,,
SaltLakeCitycity,UT,?,?,5,204,116.06,80,797.66,9746.54,,,,,,,,
BlueSpringscity,MO,?,?,?,9,21.8,9,213.14,3415.12,,,,,,,,
Americuscity,GA,?,?,?,0,0,4,607.8,5183.18,,,,,,,,
Bessemercity,AL,?,?,?,31,96.64,38,2758.9,9695.12,,,,,,,,
OakRidgecity,TN,?,?,?,8,27.92,7,342.06,5755.67,,,,,,,,
Speedwaytown,IN,?,?,?,2,16.18,2,186.04,6834.91,,,,,,,,
Lakewoodcity,OH,35,41664,?,9,15.7,6,111.67,2364.17,,,,,,,,
Jolietcity,IL,?,?,?,?,?,84,?,7311.89,,,,,,,,
Venicecity,FL,?,?,?,0,0,0,353.42,3769.81,,,,,,,,
Madisonvillecity,KY,?,?,?,0,0,7,1046.93,5808.08,,,,,,,,
Corningcity,NY,101,18256,?,5,42.44,?,551.69,?,,,,,,,,
Zanesvillecity,OH,119,88084,?,14,51.45,48,782.8,5001.84,,,,,,,,
PlantCitycity,FL,?,?,?,18,77.12,0,2523.46,10385.16,,,,,,,,
WestLinncity,OR,?,?,?,5,26.46,6,280.44,1968.36,,,,,,,,
Burnsvillecity,MN,37,8794,?,?,?,12,?,4838.22,,,,,,,,
Muhlenbergtownship,PA,11,52200,?,1,7.78,1,155.62,3906.01,,,,,,,,
RiverEdgeborough,NJ,3,63360,?,1,9.13,0,82.15,1579.19,,,,,,,,
MorenoValleycity,CA,?,?,?,58,41.43,50,1201.33,5823.11,,,,,,,,
Pierrecity,SD,65,49600,?,8,58.23,3,291.16,5553.94,,,,,,,,
Ramseyborough,NJ,3,61680,?,1,6.85,0,185.08,2796.82,,,,,,,,
CopperasCovecity,TX,?,?,?,30,103.62,12,417.93,5253.52,,,,,,,,
Ketteringcity,OH,113,40040,?,14,23.48,19,134.19,4198.4,,,,,,,,
GrandChutetown,WI,87,30075,?,2,13.45,0,208.53,5596.66,,,,,,,,
Dumontborough,NJ,3,18400,?,0,0,0,57.31,1690.74,,,,,,,,
Novicity,MI,125,59440,?,?,?,4,?,4658.46,,,,,,,,
Xeniacity,OH,57,86772,?,7,28.97,1,446.95,5466.81,,,,,,,,
