"","population","racepctblack","racePctWhite","numbUrban","medIncome","NumUnderPov","NumImmig","murders","rapes","ViolentCrimesPerPop"
"81",11967,5.57,73.69,0,19157,2689,298,1,"7","934.12"
"82",25925,4.6,92.63,25925,30591,1659,1047,0,"31","377.97"
"83",10466,0.89,98.1,10466,37683,838,564,0,"6","889.65"
"84",17118,0.59,97.87,17118,34644,687,526,1,"1","40.21"
"85",17668,16.58,78.17,12456,34639,1522,1450,0,NA,NA
"86",35748,12.06,82.54,35748,41028,1343,1211,0,"19","465.96"
"87",11290,9.4,89.79,0,23744,1560,98,1,"1","150.04"
"88",11439,0.54,94.18,11439,62420,278,1431,0,"0","49.56"
"89",40949,2.7,94.53,34156,33411,2711,2264,2,"22","1812.62"
"90",17790,3.01,89.39,17790,46499,637,2857,0,"2","129.13"
"91",437319,7.67,84.64,437398,25592,62058,33601,58,"479","1841.38"
"92",27957,10.33,83.46,27957,46674,1028,2129,0,"10","301.31"
"93",133107,1.45,72.98,133107,47204,6791,29516,12,"30","620.53"
"94",12220,0.06,98.01,12220,43804,392,146,0,"2","190.84"
"95",66072,3.64,82.76,66072,42962,5328,15722,3,"15","726.59"
"96",13187,3.03,93.76,12895,35855,771,696,0,"0","74.56"
"97",11663,0.17,98.04,11705,53665,193,528,0,NA,NA
"98",10205,1.06,97.38,0,26654,684,559,0,"2","339.96"
"99",49425,0.8,95.49,49425,25456,6526,1112,0,"19","121.02"
"100",130474,36.14,53.85,130474,25811,25481,10633,22,"130","2127.02"
"101",11218,15.59,81.67,11218,18095,2657,224,0,"4","809.39"
"102",23930,38.14,58.5,23930,36724,1162,1039,0,NA,NA
"103",19949,0.44,95.21,19949,48483,249,1262,3,"2","199.2"
"104",10542,41.48,57.56,0,19063,2468,61,0,"5","1527.29"
"105",34989,0.16,98.92,34989,29576,2113,1183,1,"1","85.17"
"106",60394,3.83,79.59,60394,37073,5232,6289,5,"21","727.83"
"107",16169,4.62,58.93,0,24292,4493,1699,1,"9","781.32"
"108",14548,0.98,88.96,0,34182,1220,767,0,"0","367.13"
"109",55006,0.79,96.25,55006,25168,6325,1563,5,"19","155.25"
"110",11874,6.36,82.79,11874,30141,1103,834,3,"41","1634.34"
"111",23229,11.49,77.75,23229,53710,794,1928,0,"1","251.23"
"112",32873,1.08,86.96,32873,51253,1160,4092,3,"5","367.33"
"113",15351,15.59,83.14,15366,32877,1413,232,0,"3","560.56"
"114",124773,29.09,68.24,124773,23453,25518,5615,9,"137","1981.45"
"115",12016,8.51,82.51,0,43092,687,2061,0,"0","83.89"
"116",13547,1.2,94.56,0,21392,3066,446,0,"2","39.87"
"117",10130,0.75,97.92,0,23642,1176,205,0,NA,NA
"118",13002,2.55,95.22,12814,44335,481,634,0,"0","60.9"
"119",17825,0.76,98.02,7850,48889,431,805,0,"0","70.4"
"120",23006,0.51,95.73,0,22194,4265,792,1,"9","242.54"
"121",39802,1.26,77.47,0,31671,3727,4230,2,"29","574.24"
"122",31287,11.07,80.05,31287,49900,786,4686,0,"7","288.37"
"123",70487,17.38,81.61,70487,21407,13999,765,6,"59","1497.92"
"124",35710,2.61,93.49,35710,32405,1969,1406,0,NA,NA
"125",22911,25.51,67.85,0,21238,4578,970,0,"28","681.32"
"126",12127,0.54,97.63,0,25141,1382,133,0,"2","194.19"
"127",22191,3.49,95.03,0,27148,2603,496,0,"8","185.48"
"128",3485398,13.99,52.83,3485398,30925,643809,1336665,1076,"1773","2414.77"
"129",13425,0.57,88.39,13425,33969,1515,5599,0,"5","581.57"
"130",15411,0.34,98.9,10135,40117,750,830,0,"0","197"
"131",27134,0.53,96.09,27134,20905,4450,453,1,"17","273.7"
"132",22902,4.62,93.26,0,29088,3443,554,0,NA,NA
"133",18749,2.27,96.66,13176,35575,762,336,0,"5","240.92"
"134",38901,23.47,52.73,38893,28655,4019,6949,6,"9","1085.11"
"135",29202,1.79,94.7,29171,48901,1226,773,0,"16","291.69"
"136",69101,9.93,85.14,69101,22059,13195,4162,1,"30","587.55"
"137",10950,0.16,97.25,0,20711,1991,274,0,"1","650.49"
"138",18041,17.71,77.25,18041,31262,2529,525,0,"4","465.66"
"139",13800,12.49,78.85,13800,36864,672,1448,0,"0","221.64"
"140",33862,1.7,97.7,33809,20461,6308,272,3,"12","216.8"
"141",177196,1.93,93.28,177196,22192,29863,6997,13,"112","795.08"
"142",12430,0.31,89.69,0,22996,2040,211,1,"10","361.75"
"143",16565,0.29,93.76,0,21762,2965,669,1,"28","525.42"
"144",41943,38.25,59.81,41945,21221,7309,774,5,"22","1462.29"
"145",16230,0.1,99.52,302,37156,862,335,0,"1","89.61"
"146",109592,9.04,81.98,109592,33344,15624,11945,2,NA,NA
"147",29603,0.93,97.6,0,43419,1113,1052,0,"40","227.32"
"148",13024,31.3,67.17,13024,23269,2610,1783,4,"20","2649.8"
"149",12233,0.47,99,0,23684,1669,158,0,"0","46.52"
"150",15128,0.15,97.68,15128,44735,351,450,1,"1","74.62"
"151",58012,5.11,74.68,58012,25655,10513,31959,1,"23","871.02"
"152",28176,3.23,73.48,28176,60462,827,6342,1,"1","185.69"
"153",140761,47.94,49.58,140761,20176,42218,2286,48,NA,NA
"154",41711,29.58,57.37,41711,28289,7561,6989,5,"18","1501.93"
"155",30495,24.96,71,30495,19397,7908,240,5,"14","1450.47"
"156",23451,42.94,31.69,23451,29206,4072,7038,4,"11","2344.56"
"157",16392,1.59,96.96,16392,70287,227,487,1,"8","64.88"
"158",30159,5.13,88.12,29967,45043,1471,1763,0,"9","129.64"
"159",31828,33.32,64.22,0,18506,8996,764,2,"16","345.46"
"160",15080,0.36,99.14,15080,44083,470,359,0,"5","267.33"
"161",12649,0.23,99.11,12649,28998,1154,235,0,"5","160.93"
"162",30533,0.22,98.95,30533,36972,900,818,0,"1","80.5"
"163",18828,0.14,99.16,18828,34179,1001,107,1,"2","399.86"
"164",12697,0.44,99.17,5987,31617,1060,27,0,"1","69"
"165",41856,65.17,32,41856,20864,10092,852,28,"53","4877.06"
"166",10513,21.14,78.28,0,20745,1763,31,1,"7","919.02"
"167",280015,25.05,70.9,280015,22772,52557,22291,43,"247","3235.45"
"168",1006877,29.5,55.3,1006831,27489,177790,125862,317,"1000","1744.19"
"169",15180,4.72,93.97,0,20859,2197,172,0,"6","76.49"
"170",52179,0.79,93.76,52278,24714,8033,3716,2,"45","339.31"
"171",21951,0.52,95.28,0,24814,2749,881,1,"9","807"
"172",38793,10.38,69.22,38793,42971,2542,9121,4,"7","932.05"
"173",13086,0.24,96.06,0,26974,1320,591,0,"5","235.04"
"174",78380,9.71,78.64,78380,22112,14857,3362,6,"42","1195.53"
"175",20027,33.9,63.88,0,17826,5036,644,0,"1","1293.95"
"176",87425,43.76,36.18,87425,32165,13909,13613,52,"82","3239.2"
"177",39990,1.02,94.74,37998,37701,2842,2901,2,"20","364.19"
"178",51206,4.06,95.02,51206,36809,1657,698,0,"6","179.38"
"179",12287,0.1,98.54,12287,29661,911,100,0,"4","43.37"
"180",12822,1.07,71.46,0,14994,5512,4425,0,"0","161.69"
"181",23755,58.44,41,0,15917,8233,153,8,"39","3268.26"
"182",11475,1.04,98.41,11475,34198,617,183,0,"0","168.99"
"183",28653,0.16,75.37,28653,17489,10670,6280,0,"2","178.75"
"184",14771,13.09,84.93,0,30524,1120,439,0,"10","231.48"
"185",30270,5.97,90.82,28209,50843,595,1439,0,"4","103.28"
"186",60536,0.67,89.1,60359,23462,11044,2852,3,"20","203.69"
"187",96357,1.33,84.31,96357,40313,8614,20787,5,"30","448.84"
"188",11676,3,84.87,11676,45171,495,1422,0,"3","356.17"
"189",16390,18.69,76.63,16390,64338,425,1956,0,"2","672.35"
"190",12363,0.56,91.22,0,19474,2436,642,0,"6","981.2"
"191",10433,0.44,98.73,0,34466,472,83,0,"7","190.21"
"192",19027,21.63,76.04,19027,26614,2049,550,1,"9","446.77"
"193",12724,0.67,96.74,12724,77530,159,435,0,"1","31.75"
"194",47564,17.58,58.6,47564,38532,5071,8899,2,"18","868.12"
"195",72820,0.93,90.3,72820,61058,1420,9128,3,"13","225.56"
"196",429433,13.68,58.38,429433,31938,69694,104150,126,"200","1631.98"
"197",85493,0.87,95.89,85493,23370,13578,2063,6,NA,NA
"198",14669,42.5,57.03,0,19829,2747,167,3,"12","1419.06"
"199",76095,2.76,75.88,76095,43555,6278,14211,1,"28","519.47"
"200",38195,0.86,97.63,38195,39603,2437,1896,0,"4","87.26"
"201",79443,3.48,93.08,79443,43428,4087,9031,1,"18","294.6"
"202",12996,1.26,97.99,10295,50798,266,392,0,"1","53.2"
"203",24093,8.16,89.99,20392,30160,3305,359,2,NA,NA
"204",38961,4.08,71.62,38961,42019,1802,9386,0,"8","282.16"
"205",39806,43.48,55.19,0,21864,8947,720,8,"17","958.15"
"206",444719,15.98,74.78,439140,25741,69096,18732,80,"515","1389.87"
"207",10886,4.68,71.3,0,21946,2188,779,0,"3","1240.65"
"208",19788,0.89,78.96,0,18962,5546,650,0,"8","674.67"
"209",10362,0.18,93.51,0,20189,1691,312,0,"2","161.02"
"210",26540,6.85,86.16,26540,47790,688,2368,3,"3","332.73"
"211",38142,7.13,83.93,38065,22610,6201,1772,0,"43","620.71"
"212",54523,1.27,88.19,54523,25740,7257,1155,1,"45","442.93"
"213",15392,4.17,59.91,15392,54364,904,4251,1,"2","372.95"
"214",37093,0.77,91,37093,59020,628,4184,1,NA,NA
"215",12743,0.24,55.84,0,22032,2827,2966,0,"3","587.33"
"216",16444,5.38,91.2,16444,37156,1076,1228,2,"0","210.79"
"217",20469,0.19,97.51,0,25787,2637,545,0,"10","500.47"
"218",17199,1.72,94.97,15616,70000,246,1259,0,"0","75.72"
"219",46080,0.86,94.07,46058,24955,6902,867,1,"34","345.45"
"220",11804,4.35,91.05,0,16600,2595,373,1,"11","1687.02"
"221",40775,28.59,69.89,40775,21174,7877,846,4,"29","394.74"
"222",17648,7.73,86.42,0,25385,2511,229,0,"5","340.43"
"223",37819,1.72,95.56,0,39087,3388,1680,0,NA,NA
"224",18827,48.1,51.62,0,16997,5559,86,3,"15",NA
"225",67153,55.3,39.76,67153,34850,7823,14637,5,"31","1446.56"
"226",30601,3.25,95.34,30601,32002,1447,331,0,"6","271.52"
"227",16609,49.86,48.46,0,14509,5616,147,1,"8","788.52"
"228",10453,3.2,95.56,0,27095,881,84,0,"20","393.26"
"229",24699,22.12,75.92,0,18743,6042,334,3,"21","1783.14"
"230",17084,0.42,97.93,17084,43109,583,1837,0,"5","77.05"
"231",30544,20.83,75.97,30615,45550,1202,877,0,"9","275.58"
"232",15333,0.67,98.15,0,35301,475,168,0,"4","74.08"
"233",32188,2.33,96.7,32188,38068,1437,596,0,"11","400.56"
"234",46194,20.12,77.74,46237,28824,4367,5775,4,"15","1357.38"
"235",15616,0.79,96.23,0,61524,356,938,0,"1","56.31"
"236",15116,0.23,98.08,0,27373,1258,325,0,NA,NA
"237",10486,3.73,93.69,10488,44130,782,299,0,"4","394.21"
"238",41036,45.35,53.97,0,18004,11060,188,7,"19","445.94"
"239",14044,0.48,98.32,14044,18514,1969,674,0,"0","522.13"
"240",15254,5.43,92.39,14221,37461,486,333,0,"2","96.69"
"241",36291,56.07,39.68,36291,47121,1614,2419,1,"10","293.41"
"242",12454,2.03,91.38,12454,42464,634,1784,0,"0","71.54"
"243",10764,1.2,96.79,7265,30200,1261,240,1,NA,NA
"244",19821,0.46,98.47,18865,60274,519,906,0,"3","37.95"
"245",23146,37.7,61.68,0,19205,5581,181,4,"11","516.96"
"246",16121,0.61,98.44,16121,29833,1550,377,0,"4","82.54"
"247",26454,34.81,51.25,26454,22224,6717,3201,5,"26","1555.07"
"248",17625,0.41,99.05,0,31503,1302,313,0,"3","52.95"
"249",36701,20.01,76.76,36701,35911,2049,5861,1,"8","530.57"
"250",80277,18.75,77.28,80277,23207,18621,3793,8,NA,NA
"251",16925,19.14,76.84,16925,25982,1983,622,4,"13","1358.47"
"252",14852,4.11,84.71,14852,61271,459,2310,1,"3","94.07"
"253",28870,4.58,91.47,28870,66760,513,2667,0,"2","88.16"
"254",10946,3.77,80.2,10946,45127,393,1054,0,"5","316.75"
"255",83995,26.14,34.72,83995,43882,5790,22681,10,"28","1267.73"
"256",37319,1.04,98.45,33118,23028,1677,2936,0,"3","106.68"
"257",31258,6.81,91.94,0,22271,3952,1217,2,"10","191.96"
"258",11796,0.7,98.16,11796,36415,486,169,0,"6","142.9"
"259",47217,3.85,92.82,47217,36843,3639,5150,1,"21","536.18"
"260",18666,0.85,97.55,0,26680,2145,415,0,"17","1678.99"
"261",22124,4.14,95.21,22124,28261,2081,755,1,"3","241.28"
"262",14192,15.78,83.6,0,21372,2446,95,1,"5","972.89"
"263",10444,0.41,98.89,10444,35951,606,38,0,"2","90.65"
"264",19382,2.92,79.24,19382,36222,2059,3167,0,"3","1287.84"
"265",49938,1.52,96.79,49938,44142,1836,2604,0,"7","136.48"
"266",44962,8.9,89.54,44962,26272,7268,645,1,"28","488.86"
"267",14096,17.37,81.92,14096,18519,2873,138,2,"6","609.46"
"268",15134,0.35,97.58,0,27111,1378,121,2,NA,NA
"269",60167,1.6,87.04,60167,51913,3355,7472,4,"17","599.45"
"270",14903,27.56,71.41,0,20213,2854,485,2,"16","2018.97"
"271",20463,0.18,97.58,0,27824,2095,1082,0,"0","33.66"
"272",15026,1.28,98.06,0,20950,2435,93,1,"9","216.78"
"273",30576,0.52,96.17,30444,51499,1119,1899,0,"7","136.4"
"274",133850,2.88,86.07,133850,28388,15085,15962,16,"129","687.49"
"275",26542,0.57,98.69,23043,32596,1754,1148,0,"1","91.31"
"276",27973,2.77,81.67,27973,42822,755,4281,0,NA,NA
"277",139426,14.97,81.13,139426,28282,18127,6786,22,NA,NA
"278",36955,3.54,63.92,36955,33273,5143,13735,8,"18","1664.84"
"279",60569,1.05,90.6,60569,45529,2276,7885,1,"10","293.54"
"280",37060,0.13,93.05,37060,25505,4232,1920,0,"6","48.58"
"281",81177,3.04,92.46,81177,32356,5653,7470,2,"12","283.39"
"282",12361,0.83,94.56,0,43379,574,400,0,"2","302.76"
"283",85351,2.1,92.56,85351,60979,1278,5382,2,NA,NA
"284",19212,0.62,63.53,0,32857,2225,3978,0,"1","918.22"
"285",13296,1.06,95.63,13296,46082,495,1360,0,"2","86.45"
"286",28227,8.08,88.65,28227,30534,3228,1473,1,"16","1185.33"
"287",84985,1.09,91.68,84985,35858,5707,9525,2,"24","369.24"
"288",47409,2.41,93.66,47409,46612,1336,1650,0,NA,NA
"289",38736,0.87,97.11,38736,50611,895,673,0,NA,NA
"290",41643,38.14,60.42,41643,26615,6312,542,6,"23","2047.92"
"291",89235,0.57,94.28,89090,39014,5543,3020,0,"19","266.81"
"292",10241,0.09,99.37,0,26640,652,146,0,"1","84.64"
"293",27437,2.6,76.09,27437,23491,4991,3559,2,"23","644.09"
"294",72644,3.59,89.25,72644,26541,7632,12868,2,"29","458.28"
"295",304011,11.28,82.29,304011,28024,37321,12259,48,"265","874.69"
"296",13812,0.66,95.64,10541,59724,283,1200,0,"1","160.76"
"297",34507,0.51,98.75,0,22430,4791,262,0,"3",NA
"298",21460,12.99,70.45,0,28611,3338,3969,5,"17","1379.97"
"299",159936,1.72,87.02,159802,22697,25651,13258,19,"204","797.66"
"300",40153,2.44,95.6,40124,39904,1862,662,1,"9","213.14"
"301",16512,52.91,46.31,0,18593,4808,102,0,"0","607.8"
"302",33497,58.37,41.41,33202,16331,9790,87,10,"31","2758.9"
"303",27310,7.98,89.38,0,32615,2567,962,1,"8","342.06"
"304",13092,5.46,93.29,13092,29547,816,186,1,"2","186.04"
"305",59718,0.85,97.5,59718,28791,5043,4122,0,"9","111.67"
"306",76836,21.6,69.23,76836,30967,9419,5623,17,NA,NA
"307",16922,1.27,98.27,16922,27834,944,1140,0,"0","353.42"
"308",16200,12.99,86.4,0,21468,2893,129,2,"0","1046.93"
"309",11938,2.06,96.36,0,24127,1611,489,0,"5","551.69"
"310",26778,10.76,88.29,0,17658,6779,213,3,"14","782.8"
"311",22754,21.26,75.56,0,25268,4004,1033,4,"18","2523.46"
"312",16367,0.56,96.62,16367,45474,637,624,0,"5","280.44"
"313",51288,2.27,94.8,51288,43620,2142,1422,0,NA,NA
"314",12636,0.39,98.35,11469,32979,709,339,1,"1","155.62"
"315",10603,0.61,90.3,10603,52126,252,1784,0,"1","82.15"
"316",118779,13.81,67.45,118589,42186,9870,14649,12,"58","1201.33"
"317",12906,0.14,92.8,0,27373,1290,156,0,"8","291.16"
"318",13228,0.77,94.1,13228,65590,325,1285,1,"1","185.08"
"319",24079,16.48,75.1,24079,24596,2857,1768,0,"30","417.93"
"320",60569,0.72,97.78,60569,34506,2502,1833,0,"14","134.19"
"321",14490,0.21,98.5,11208,39683,479,173,0,"2","208.53"
"322",17187,1.05,91.23,17187,48776,560,2513,0,"0","57.31"
"323",32998,0.78,96.04,32998,47518,1066,2058,1,NA,NA
"324",24664,13.68,85.05,0,25508,3718,263,3,"7","446.95"
"325",23163,0.29,98.16,23163,31877,1608,929,0,"4","154.77"
"326",19478,4.59,94.24,0,29032,1885,261,1,"8","121.99"
"327",28150,0.56,98.11,28150,44109,1175,1563,0,"2","73.07"
"328",16787,0.5,98.24,13303,49004,472,1485,0,"0","65.46"
"329",22286,25.08,73.83,22286,29450,1425,293,0,"10","535.49"
"330",25408,0.14,97.11,0,22954,2780,1032,0,"0","252.63"
"331",58282,35.16,63.62,58282,23963,9605,1170,9,"38","1756.32"
"332",23478,1.97,87.97,0,17886,6029,2386,1,"6","212.45"
"333",16097,0.11,98.65,0,21615,2288,189,0,"1","36.89"
"334",12456,12.38,85.77,12456,23700,1669,207,0,NA,NA
"335",20390,1.17,90.13,20390,70919,718,2864,0,"2","368.76"
"336",23071,20,76.16,0,25075,3776,699,2,"27","1439.97"
"337",26801,0.97,87.45,26801,42487,1236,5187,1,"4","273.51"
"338",13289,1.28,96.72,13289,34859,763,390,0,"0","75.52"
"339",27603,1.19,96.96,26804,43578,962,1259,1,"2","71.56"
"340",14837,0.82,97.89,14831,36215,555,502,1,"0","310.48"
"341",10145,2.18,94.68,0,25943,1390,182,0,"1","152.6"
"342",52376,50.6,42.59,52376,20329,14002,1530,13,"67","2105.73"
"343",24603,0.96,94.52,24603,35018,1065,413,0,"6","368.05"
"344",328123,30.65,64.75,328123,18482,81601,14741,76,"295","1933.77"
"345",78122,54.99,44.22,78122,21885,21011,752,22,"55","1363.32"
"346",22117,29.83,65,22117,31489,2177,437,2,"11","480.51"
"347",74991,1.01,97.47,73342,31177,4391,4881,1,"12","303.72"
"348",22355,2.89,89.61,22355,33311,1368,4457,0,"1","206.88"
"349",1027974,75.67,21.63,1027974,18742,328467,34490,579,NA,NA
"350",50961,16.22,81.99,50978,24884,6500,3297,3,"47","1846.45"
"351",56381,4.94,90.6,56381,40018,4221,2016,4,NA,NA
"352",53589,27.32,71.49,53583,25790,8980,616,4,"33","1257.09"
"353",75636,1.47,74.77,75636,29463,13075,8507,3,"24","776.61"
"354",23696,0.24,97.76,23696,39437,850,1075,0,"2","319.99"
"355",47181,26.28,71.99,47181,31146,5307,6745,6,"28","1399.48"
"356",12588,0.6,98.26,8449,36682,563,392,0,"0","442.24"
"357",10678,2.4,73.97,0,26136,1699,1340,0,"0","173.77"
"358",18853,12.27,65.07,0,19970,4946,849,2,"14","765.85"
"359",13057,5.81,85.86,13057,35615,1035,670,0,"1",NA
"360",32983,11.97,77.37,0,29590,3288,2316,1,"4","111.07"
"361",24848,14.08,83.71,24848,24869,2602,812,2,"31","1454.74"
"362",71349,28.33,42.28,71349,30967,9833,20927,12,"57","2541.38"
"363",137560,51.31,46.85,137557,22102,29854,2676,33,"89","987.42"
"364",13794,0.5,98.33,13111,38025,834,259,1,"1","92.08"
"365",11216,2.89,93.58,11216,26179,1354,686,0,NA,NA
"366",39311,1.12,96.38,39311,52956,1223,1019,0,NA,NA
"367",44972,34.1,64.19,44972,22661,10700,785,5,"52","1577.75"
"368",24832,10.39,86.05,0,28121,2507,2312,3,"20","1523.92"
"369",16210,1.19,74.64,16210,20810,2552,2377,1,"7","619.51"
"370",58441,2.13,93.26,50576,65072,1743,10199,1,"0","52.25"
"371",369365,15.3,60.09,369365,28183,62232,50569,85,"167","1290.43"
"372",70576,20.2,78.12,70576,24462,9483,3011,8,"45","1523.3"
"373",81805,1.58,97.18,81805,21060,11907,2090,2,"26","288.4"
"374",10742,2.09,97.32,10286,34978,436,281,0,"0","73.23"
"375",40961,2.13,95.03,40956,19420,6708,581,5,"25","524.67"
"376",53367,2.38,88.43,53367,32420,3797,4237,4,"45","491.66"
"377",14427,11.12,88.2,0,47517,949,187,1,"1","80.61"
"378",29925,70.33,23.96,29925,27301,5261,6223,3,"29","2594.03"
"379",86284,1.67,41.65,86284,27279,14956,42540,11,"27","1097.77"
"380",447619,22.01,63.79,447157,26547,75597,40300,133,"507","1516.12"
"381",24124,10.84,87.86,24124,34492,2391,555,1,"1","951.3"
"382",13786,5.74,93.4,0,24676,1979,77,0,"2","373.54"
"383",12703,0.78,96.92,0,21344,1453,103,0,"4","189.01"
"384",40663,15.66,79.29,40569,35794,3388,8156,5,"10","743.07"
"385",25058,5.24,90.35,25058,46885,800,2686,0,"1","228.86"
"386",12329,12.22,82.41,0,47299,373,558,0,"0","7.79"
"387",13441,23.93,63.14,0,14555,4212,129,2,"7","995.75"
"388",66643,0.35,95.81,66643,60374,3731,6045,3,"25","387.2"
"389",31808,3.32,87.75,32038,45964,1826,2956,0,"13","328.75"
"390",19587,13.94,85.03,19563,32493,2215,278,0,"6","1205.17"
"391",37729,31,65.5,37729,52442,2223,4179,0,"7","509.18"
"392",25086,1,86.47,25086,30469,2960,1958,1,NA,NA
"393",34128,0.25,97.28,34128,53140,466,1650,0,"11","140.72"
"394",29809,29,69.88,0,21352,6207,468,3,"18","878.94"
"395",47828,1.12,88.49,47828,46116,2328,5987,0,"13","294.92"
"396",12711,0.31,93.64,0,40378,907,293,0,"2","155.04"
"397",10891,13.65,85.37,85,34929,825,145,0,NA,NA
