"","rapes","rapesPerPop","arsons","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"43","37","66.7","26","46.87","919.33","5227.58"
"44","7","43.81","9","56.33","682.23","7554.61"
"45","9","13.15","14","20.45","131.47","2543.13"
"46","5","20.8","3","12.48","794.41","5939.36"
"47","1","7.38","8","59.08","420.91","5095.26"
"48",NA,NA,"13","20.18",NA,"4869.53"
"49",NA,NA,"1","6.05",NA,"3207.26"
"50","9","41.81","1","4.65","92.91","3121.66"
"51","8","24.03","14","42.05","1087.25","7394.5"
"52","2","13.97","0","0","237.45","1948.46"
"53","16","46.03","3","8.63","212.87","6403.36"
"54","357","110.19","357","110.19","984.96","7910.25"
"55","785","51.31","2282","149.17","1279.6","5253.14"
"56","11","12.82","0","0","256.34","2556.39"
"57","10","31.02","0","0","142.7","4091.83"
"58","45","67","50","74.45","753.42","4630.73"
"59","0","0","5","21.91","122.69","2721.06"
"60","15","50.34","3","10.07","1849.3","6474.24"
"61","33","28.5","93","80.33","566.64",NA
"62",NA,NA,"4","15.77",NA,"3012.5"
"63","2","14.83","4","29.66","51.91","3374.37"
"64","3","7.91","26","68.59","94.97","3498.22"
"65","23","102.18","14","62.2","422.05","4567.06"
"66","15","37.91","13","32.86","452.4","3389.19"
"67","5","47.34","9","85.21","407.12","3739.82"
"68","102","59.32","173","100.6","1693.42","6179.34"
"69","1","7.46","1","7.46","462.24","5956.91"
"70",NA,NA,NA,NA,NA,NA
"71","3","13.82","2","9.21","115.14","2160.1"
"72","4","13.68","1","3.42","78.65","3553.11"
"73","8","63.04","1","7.88","985.03","4767.53"
"74","13","14.89","5","5.73","131.68","3715.75"
"75",NA,NA,"3","5.54",NA,"2395.42"
"76",NA,NA,"9","38.75",NA,"3577.58"
"77","11","72.14","7","45.9","1134.5","5292.15"
"78","314","69.78","162","36","969.6","9943.53"
"79","5","20.94","7","29.31","251.24","3668.03"
"80","7","57.36","5","40.97","934.12","5735.82"
"81","31","148.32","9","43.06","377.97","4550.02"
"82","6","53.92","3","26.96","889.65","2039.9"
"83","1","5.74","3","17.23","40.21","1654.22"
"84",NA,NA,"7","38.56",NA,"8642.72"
"85","19","51.17","16","43.09","465.96","5063.56"
"86","1","8.83","0","0","150.04","2338.92"
"87","0","0","2","16.52","49.56","1032.55"
"88","22","51.39","0","0","1812.62","3277.2"
"89","2","11.23","2","11.23","129.13","2094.09"
"90","479","104.44","604","131.7","1841.38","9577.37"
"91","10","31.06","6","18.64","301.31","4038.14"
"92","30","21.6","54","38.87","620.53","5352.95"
"93","2","11.57","0","0","190.84","3302.11"
"94","15","22.02","2","2.94","726.59","4174.62"
"95","0","0","3","22.37","74.56","3183.72"
"96",NA,NA,"6","45.63",NA,"1961.98"
"97","2","17","0","0","339.96","3739.59"
"98","19","37.7","14","27.78","121.02","5247.7"
"99","130","108.69","134","112.04","2127.02","10988.76"
"100","4","36.38","2","18.19","809.39","6620.59"
"101",NA,NA,"1","4.02",NA,"6324.43"
"102","2","9.72","1","4.86","199.2","2992.91"
"103","5","47.14","1","9.43","1527.29","5317.24"
"104","1","3.04","3","9.13","85.17","2570.42"
"105","21","32.38","16","24.67","727.83","4976.1"
"106","9","42.11","16","74.86","781.32","7265.84"
"107","0","0","7","39.54","367.13","3885.91"
"108","19","33.52","10","17.64","155.25","5691.4"
"109","41","320.61","14","109.48","1634.34","24116.36"
"110","1","3.81","2","7.61","251.23","2561.76"
"111","5","14.35","16","45.92","367.33","5934.68"
"112","3","16.99","1","5.66","560.56","4218.33"
"113","137","100.91","30","22.1","1981.45","12349.83"
"114","0","0","1","8.39","83.89","5041.52"
"115","2","13.29","3","19.93","39.87","6199.75"
"116",NA,NA,"2","19.08",NA,"3673.66"
"117","0","0","0","0","60.9","2243.88"
"118","0","0","2","10.83","70.4","1348.5"
"119","9","41.98","10","46.64","242.54","6436.57"
"120","29","67.42","47","109.27","574.24","4296.38"
"121","7","21.47","8","24.54","288.37","3647.57"
"122","59","83.45","6","8.49","1497.92","7742.79"
"123",NA,NA,"5","14.39",NA,"4805.2"
"124","28","119.98","21","89.99","681.32","7241.72"
"125","2","16.18","1","8.09","194.19","2330.29"
"126","8","35.33","7","30.91","185.48","3978.98"
"127","1773","51.15","5119","147.68","2414.77","6756.86"
"128","5","37.76","1","7.55","581.57","5188.82"
"129","0","0","29","178.53","197","2074.61"
"130","17","61.22","29","104.44","273.7","6766.78"
"131",NA,NA,"13","55.21",NA,"4272.31"
"132","5","23.62","9","42.51","240.92","2078.51"
"133","9","27.82","21","64.92","1085.11","3610.84"
"134","16","42.82","14","37.46","291.69","2860.66"
"135","30","40.15","30","40.15","587.55","5753.71"
"136","1","8.34","0","0","650.49","9215.24"
"137","4","21.17","6","31.75","465.66","4402.58"
"138","0","0","0","0","221.64","5411.19"
"139","12","36.13","37","111.41","216.8","3824.15"
"140","112","57.16","74","37.76","795.08","7383.29"
"141","10","70.93","0","0","361.75","7653.57"
"142","28","163.47","27","157.63","525.42","8762.92"
"143","22","51.31","2","4.66","1462.29","6068.38"
"144","1","5.97","1","5.97","89.61","1153"
"145",NA,NA,"35","31.99",NA,"4960.52"
"146","40","133.72","31","103.63","227.32","3309.49"
"147","20","141.32","7","49.46","2649.8","15920.01"
"148","0","0","1","7.75","46.52","806.39"
"149","1","6.78","0","0","74.62","4782.25"
"150","23","40.64","7","12.37","871.02","4621.91"
"151","1","3.38","6","20.26","185.69","2386.9"
"152",NA,NA,"338","243.28",NA,"10343.04"
"153","18","43.39","19","45.81","1501.93","7502.41"
"154","14","44.43","4","12.7","1450.47","3980.07"
"155","11","42.35","37","142.44","2344.56","4180.94"
"156","8","37.07","0","0","64.88","2335.71"
"157","9","23.81","0","0","129.64","3463.15"
"158","16","47.24",NA,NA,"345.46",NA
"159","5","32.6","6","39.12","267.33","2008.22"
"160","5","40.23","0","0","160.93","3154.17"
"161","1","3.22","1","3.22","80.5","1236.48"
"162","2","9.87","4","19.75","399.86","3134.72"
"163","1","7.67","1","7.67","69","1694.27"
"164","53","134.07","62","156.83","4877.06","8770.11"
"165","7","63.69","7","63.69","919.02","9190.17"
"166","247","85.21","214","73.82","3235.45","12490.6"
"167","1000","95.96","1324","127.05","1744.19","9015.27"
"168","6","32.78","0","0","76.49","3999.56"
"169","45","77.51","31","53.39","339.31","17859.42"
"170","9","32","19","67.55","807","7341.18"
"171","7","17.73","1","2.53","932.05","5891.14"
"172","5","33.58","6","40.29","235.04","4378.48"
"173","42","53.59","52","66.35","1195.53","7043.06"
"174","1","4.94","4","19.76","1293.95","9116.95"
"175","82","92.77","112","126.72","3239.2","8497.95"
"176","20","48.56","8","19.42","364.19","4681.09"
"177","6","11.57","11","21.22","179.38","2659.8"
"178","4","28.91","6","43.37","43.37","3259.85"
"179","0","0","0","0","161.69","6854.13"
"180","39","156.97",NA,NA,"3268.26",NA
"181","0","0","4","33.8","168.99","2729.19"
"182","2","5.11","16","40.86","178.75","5709.91"
"183","10","66.14","4","26.46","231.48","4027.78"
"184","4","12.91","2","6.45","103.28","2149.5"
"185","20","30.4","41","62.32","203.69","6443.62"
"186","30","30.33","26","26.28","448.84","7247.12"
"187","3","24.85","17","140.81","356.17","4472.79"
"188","2","12.01","0","0","672.35","7311.8"
"189","6","44.94","9","67.41","981.2","7182.98"
"190","7","44.38","2","12.68","190.21","2675.63"
"191","9","40.21","12","53.61","446.77","3471.38"
"192","1","5.29","1","5.29","31.75","1423.43"
"193","18","34.42","18","34.42","868.12","4843.49"
"194","13","15.43","35","41.55","225.56","2945.37"
"195","200","45.87","243","55.73","1631.98","6595.13"
"196",NA,NA,"14","16.51",NA,"5198.1"
"197","12","74.69","7","43.57","1419.06","8956.25"
"198","28","29.99","23","24.63","519.47","6434.96"
"199","4","10.27","4","10.27","87.26","3174.56"
"200","18","19.14","4","4.25","294.6","4176.5"
"201","1","7.6","0","0","53.2","1968.23"
"202",NA,NA,"9","36.36",NA,"3470.01"
"203","8","19.63","10","24.54","282.16","4480.21"
"204","17","37.19","3","6.56","958.15","6354.87"
"205","515","110.46","420","90.08","1389.87","9710.83"
"206","3","25.49","6","50.99","1240.65","5319.51"
"207","8","38.55","22","106.02","674.67","6809.31"
"208","2","18.94","2","18.94","161.02","4328.47"
"209","3","13.67","9","41.02","332.73","4193.25"
"210","43","99.97","6","13.95","620.71","4840.17"
"211","45","77.26",NA,NA,"442.93",NA
"212","2","12.43","12","74.59","372.95","4090"
"213",NA,NA,"0","0",NA,"2405.2"
"214","3","22.02","1","7.34","587.33","4977.61"
"215","0","0","0","0","210.79","3812.33"
"216","10","41.02","8","32.82","500.47","9463.84"
"217","0","0","0","0","75.72","1216.94"
"218","34","66.73","10","19.63","345.45","4100.26"
"219","11","83.97","13","99.24","1687.02","8763.36"
"220","29","43.69","21","31.64","394.74","4197.55"
"221","5","27.45","7","38.44","340.43","5221.83"
"222",NA,NA,"6","15.08",NA,"2747.06"
"223","15","76.69","8","40.9",NA,"8890.59"
"224","31","47.15","27","41.07","1446.56","5381.64"
"225","6","19.87","23","76.16","271.52","3533.11"
"226","8","47.43","0","0","788.52","6474.18"
"227","20","170.98","1","8.55","393.26","4719.16"
"228","21","83.96","14","55.97","1783.14","9719.33"
"229","5","27.52","0","0","77.05","2140.89"
"230","9","25.31","9","25.31","275.58","4729.9"
"231","4","22.79","6","34.19","74.08","4348.07"
"232","11","29.57","1","2.69","400.56","2510.89"
"233","15","28.84","6","11.54","1357.38","7225.26"
"234","1","6.26","0","0","56.31","2239.74"
"235",NA,NA,"2","12.67",NA,"4853.32"
"236","4","28.67","7","50.17","394.21","3168"
"237","19","44.13","10","23.23","445.94","4287.54"
"238","0","0","4","26.11","522.13","6363.4"
"239","2","12.89","0","0","96.69","2604.1"
"240","10","26.92","18","48.45","293.41","3459.04"
"241","0","0","1","7.95","71.54","1438.79"
"242",NA,NA,"16","144.69",NA,"5453.07"
"243","3","14.23","0","0","37.95","2334.19"
"244","11","45.49","3","12.41","516.96","6273.78"
"245","4","25.4","6","38.1","82.54","4387.58"
"246","26","101.33","22","85.74","1555.07","5214.75"
"247","3","11.35","0","0","52.95","1879.8"
"248","8","21.77","16","43.53","530.57","4674.45"
"249",NA,NA,"85","103.53",NA,"7203.5"
"250","13","77.8","14","83.78","1358.47","10029.92"
"251","3","18.81","4","25.08","94.07","2966.26"
"252","2","6.78","1","3.39","88.16","2170.08"
"253","5","42.8","0","0","316.75","5624.52"
"254","28","30.95","44","48.63","1267.73","4148.02"
"255","3","7.81","7","18.21","106.68","2016.5"
"256","10","32.54","2","6.51","191.96","3702.5"
"257","6","35.72","12","71.45","142.9","3876.15"
"258","21","36.09","5","8.59","536.18","6743.54"
"259","17","89.76","0","0","1678.99","4102.43"
"260","3","13.92","3","13.92","241.28","2032.29"
"261","5","33.55","7","46.97","972.89","7722.76"
"262","2","18.13","0","0","90.65","2085.03"
"263","3","14.42","6","28.83","1287.84","3061.03"
"264","7","14.26","5","10.18","136.48","5457.1"
"265","28","60.3","5","10.77","488.86","5127.6"
"266","6","41.55","8","55.41","609.46","8899.51"
"267",NA,NA,"5","31.47",NA,"4852.11"
"268","17","26.33","3","4.65","599.45","5636.7"
"269","16","81.16","4","20.29","2018.97","6665.65"
"270","0","0","0","0","33.66","3322.75"
"271","9","59.12","0","0","216.78","4920.19"
"272","7","20.76","16","47.44","136.4","2570.87"
"273","129","84.7","72","47.28","687.49","6957.6"
"274","1","3.65","5","18.26","91.31","3360.24"
"275",NA,NA,"3","10.26",NA,"2695.95"
"276",NA,NA,"58","40.64",NA,"9522.57"
"277","18","45.89","6","15.3","1664.84","3049.23"
"278","10","16.04","23","36.89","293.54","4252.35"
"279","6","15.34","6","15.34","48.58","3809.48"
"280","12","14.53","1","1.21","283.39","3105.21"
"281","2","11.21","1","5.61","302.76","2315.54"
"282",NA,NA,"19","20.52",NA,"2639.54"
"283","1","4.52","26","117.6","918.22","4758.46"
"284","2","14.41","1","7.2","86.45","3385.92"
"285","16","66.54","43","178.84","1185.33","8754.78"
"286","24","28.4","21","24.85","369.24","3235.58"
"287",NA,NA,"10","17.38",NA,"3238.42"
"288",NA,NA,"5","10.62",NA,"2743.68"
"289","23","48.81","5","10.61","2047.92","6650.96"
"290","19","19.42","27","27.6","266.81","3574.9"
"291","1","9.4","5","47.02","84.64","3348.07"
"292","23","70.54","9","27.6","644.09","7560.42"
"293","29","42.33","14","20.43","458.28","5702.23"
"294","265","84.5",NA,NA,"874.69",NA
"295","1","6.99","0","0","160.76","1579.65"
"296","3","8.44","0","0",NA,"4127.54"
"297","17","55.72","58","190.11","1379.97","6667.1"
"298","204","116.06","80","45.52","797.66","9746.54"
"299","9","21.8","9","21.8","213.14","3415.12"
"300","0","0","4","22.51","607.8","5183.18"
"301","31","96.64","38","118.46","2758.9","9695.12"
"302","8","27.92","7","24.43","342.06","5755.67"
"303","2","16.18","2","16.18","186.04","6834.91"
"304","9","15.7","6","10.47","111.67","2364.17"
"305",NA,NA,"84","105.68",NA,"7311.89"
"306","0","0","0","0","353.42","3769.81"
"307","0","0","7","36.83","1046.93","5808.08"
"308","5","42.44",NA,NA,"551.69",NA
"309","14","51.45","48","176.41","782.8","5001.84"
"310","18","77.12","0","0","2523.46","10385.16"
"311","5","26.46","6","31.75","280.44","1968.36"
"312",NA,NA,"12","21.58",NA,"4838.22"
"313","1","7.78","1","7.78","155.62","3906.01"
"314","1","9.13","0","0","82.15","1579.19"
"315","58","41.43","50","35.71","1201.33","5823.11"
"316","8","58.23","3","21.84","291.16","5553.94"
"317","1","6.85","0","0","185.08","2796.82"
"318","30","103.62","12","41.45","417.93","5253.52"
"319","14","23.48","19","31.87","134.19","4198.4"
"320","2","13.45","0","0","208.53","5596.66"
"321","0","0","0","0","57.31","1690.74"
"322",NA,NA,"4","10.28",NA,"4658.46"
"323","7","28.97","1","4.14","446.95","5466.81"
"324","4","17.69","7","30.95","154.77","5576.19"
"325","8","39.04","12","58.55","121.99","3635.21"
"326","2","7.31","0","0","73.07","1633.06"
"327","0","0","0","0","65.46","2475.6"
"328","10","43.89","4","17.56","535.49","5174.91"
"329","0","0","6","22.62","252.63","2869.42"
"330","38","63.38","26","43.37","1756.32","8930.03"
"331","6","26.01","2","8.67","212.45","1634.58"
"332","1","6.15","0","0","36.89","2391.49"
"333",NA,NA,"5","40.12",NA,"6876.35"
"334","2","7.85","2","7.85","368.76","2032.09"
"335","27","117.11","22","95.42","1439.97","8245.14"
"336","4","14.4","9","32.39","273.51","4322.17"
"337","0","0","0","0","75.52","3295.57"
"338","2","7.16","0","0","71.56","1703.16"
"339","0","0","8","51.75","310.48","4482.54"
"340","1","9.54","13","123.99","152.6","2784.93"
"341","67","123.32","22","40.49","2105.73","7093.95"
"342","6","21.44","0","0","368.05","3541.18"
"343","295","94.43","434","138.93","1933.77","8407.3"
"344","55","66.47","2","2.42","1363.32","9960.24"
"345","11","45.96","29","121.17","480.51","5214.56"
"346","12","13.91","7","8.11","303.72","4529.07"
"347","1","4.4","1","4.4","206.88","3913.02"
"348",NA,NA,"1219","122.23",NA,"9544.8"
"349","47","85.08","24","43.45","1846.45","10816.24"
"350",NA,NA,"17","28.65",NA,"4379.92"
"351","33","58.68",NA,NA,"1257.09",NA
"352","24","28.07","13","15.2","776.61","6940.35"
"353","2","8.77","4","17.53","319.99","4436.07"
"354","28","54.05","13","25.09","1399.48","11091.59"
"355","0","0","3","22.87","442.24","1921.46"
"356","0","0","0","0","173.77","2999.82"
"357","14","69.17","2","9.88","765.85","5850.09"
"358","1","7.2","2","14.4",NA,"3879.65"
"359","4","10.1","8","20.2","111.07","3115.14"
"360","31","110.26","0","0","1454.74","16628.13"
"361","57","75.29","81","106.99","2541.38","6879.15"
"362","89","62.02","43","29.96","987.42","7902.86"
"363","1","7.08","2","14.17","92.08","2075.36"
"364",NA,NA,"5","45.93",NA,"6622.58"
"365",NA,NA,"13","26.86",NA,"3481.98"
"366","52","103.59","8","15.94","1577.75","9695.61"
"367","20","79.79","3","11.97","1523.92","13751.15"
"368","7","33.62","0","0","619.51","3424.1"
"369","0","0","6","10.11","52.25","2326.01"
"370","167","44.43","164","43.64","1290.43","9258.87"
"371","45","62.2","15","20.73","1523.3","13032.36"
"372","26","32.46","25","31.21","288.4","3274.74"
"373","0","0","0","0","73.23","421.09"
"374","25","57.78","23","53.16","524.67","6233.68"
"375","45","71.14",NA,NA,"491.66",NA
"376","1","5.04","1","5.04","80.61","2377.95"
"377","29","95.34","24","78.91","2594.03","9360.21"
"378","27","29.23","28","30.31","1097.77","4261.17"
"379","507","110.14","419","91.02","1516.12","9393.66"
"380","1","3.35","0","0","951.3","8119.51"
"381","2","13.58",NA,NA,"373.54",NA
"382","4","29.08","3","21.81","189.01","3518.46"
"383","10","20.53","13","26.68","743.07","5412.89"
"384","1","3.81","8","30.51","228.86","4519.97"
"385","0","0","0","0","7.79","116.79"
"386","7","51.25","7","51.25","995.75","6252.75"
"387","25","35.2","40","56.32","387.2","4864.62"
"388","13","39.57","3","9.13","328.75","4069.77"
"389","6","24.68","3","12.34","1205.17","4972.85"
"390","7","18.28","5","13.06","509.18","6256.36"
"391",NA,NA,"8","25.28",NA,"5306.57"
"392","11","30.35","8","22.07","140.72","2579.88"
"393","18","57.74","17","54.53","878.94","4994.55"
"394","13","24.9","7","13.41","294.92","3347.5"
"395","2","14.77","5","36.91","155.04","3521.59"
"396",NA,NA,"4","35.75",NA,"3038.43"
"397","4","26.1","22","143.58","202.31","1461.85"
"398","2","7.87",NA,NA,"720.05",NA
"399","8","36.29","7","31.75","185.97","1560.37"
"400","0","0","10","66.84","133.68","4398.1"
"401","1","8.3","1","8.3","190.95","1992.53"
"402","2","6.56","1","3.28","62.29","1331.02"
"403","26","233.58","10","89.84","2650.26","16233.94"
"404","3","22.54","2","15.03","405.71","7505.63"
"405","11","35","0","0","264.07","4088.32"
"406","20","84.41","7","29.54","485.38","8352.68"
"407","3","14.18","3","14.18","103.96","1960.97"
"408","3","19.15","9","57.45","1640.6","4857.96"
"409","4","21.73","1","5.43","217.26","3590.24"
"410","8","67.74","2","16.94","279.45","4293.34"
"411","17","38.14","11","24.68","567.54","5334.47"
"412","75","70.02","33","30.81","269.82","2762.66"
"413",NA,NA,"5","24.1",NA,"2607.86"
"414","14","35.52","12","30.45","880.44","5158.33"
"415","3","20.5",NA,NA,"703.74",NA
"416","104","98.09","62","58.48","1093.15","8755.56"
"417","11","86.07","7","54.77","1095.46","8356.81"
"418","0","0","0","0","178.57","3890.98"
"419",NA,NA,"14","47.04",NA,"5090.9"
"420","0","0","4","30.79","138.57","6497.31"
"421","4","24.25","4","24.25","181.86","2837.05"
"422","26","30.97","36","42.89","1380.76","4782.04"
"423","25","41.57","32","53.21","1486.61","8773.3"
"424","60","96.87","33","53.28","2423.47","9811.74"
"425","4","11.93","1","2.98","772.3","7242.96"
"426","3","5.3","10","17.68","758.39","8050.63"
"427","6","36.12","1","6.02","234.77","5116.78"
"428","2","17.88",NA,NA,"116.21",NA
"429","28","68.01","15","36.43","699.49","6028.22"
"430","10","45.92","2","9.18","225.01","7833.95"
"431","5","36.3","1","7.26","500.94","1989.26"
"432","4","9.95","6","14.92","106.93","2511.63"
"433","5","13.66","6","16.4","284.21","2828.41"
"434","2","14.04",NA,NA,"667.04",NA
"435","1","5.93","2","11.87","634.79","7937.83"
"436","0","0","0","0",NA,NA
"437","2","9.52","0","0","52.35","1380.23"
"438","1","5.41","2","10.81","264.97","5531.82"
"439","15","45.12",NA,NA,"339.92",NA
"440","1","8.1","4","32.41","81.02","1531.36"
"441","1","7.01","0","0","140.18","4247.56"
"442","29","55.04","15","28.47","1195.76","6305.28"
"443","0","0","1","7.09","63.81","453.77"
"444","7","25.38","2","7.25","264.67","2472.72"
"445","2","16.58","2","16.58","99.47","2138.59"
"446","2","10.32","4","20.64","443.73","5737.58"
"447","10","47.91","3","14.37","201.24","3085.62"
"448","9","53.62","2","11.92","208.53","2818.16"
"449","12","30.65","69","176.23","168.57","4627.88"
"450","2","7.17","2","7.17","426.57","4262.11"
"451","0","0","5","41.27","354.96","4424.63"
"452","0","0","0","0","339.73","4416.49"
"453","0","0","1","5.94","47.5","2707.68"
"454","361","48.89","488","66.09","1810.07","7754.23"
"455","18","40.12","22","49.03","686.47","5304.57"
"456","18","38.24","26","55.24","220.96","4890.8"
"457","13","79.42","7","42.76","2089.32","12658.07"
"458",NA,NA,"3","29.01",NA,"4002.71"
"459","6","19.14","11","35.08","494.37","2730.2"
"460","5","8.78","9","15.81","332","4526.77"
"461","49","56.01","137","156.6","1651.73","10954"
"462","0","0","4","18.14","9.07","1324.5"
"463","12","58.73","30","146.83","161.51","5594.17"
"464","0","0","1","8.42","168.48","2822"
"465","22","28.84","8","10.49","602.99","4846.24"
"466","52","65","29","36.25","342.53","4705.35"
"467","59","54.34","63","58.02","770.88","4328.73"
"468","36","39.77","10","11.05","157.99","3935.3"
"469","7","18.71","20","53.45","374.18","6406.52"
"470",NA,NA,"79","41.26",NA,"6864.2"
"471","16","138.7","9","78.02","468.1","4776.35"
"472",NA,NA,"3","13.52",NA,"3168.95"
"473","12","41.11","3","10.28","352.88","7276.96"
"474","25","43.02","8","13.77","533.46","5551.44"
"475","3","26.28","0","0","70.08","2531.53"
"476","11","13.29","11","13.29","305.77","5248.85"
"477","12","34.3","17","48.59","122.91","3126.97"
"478","2","12.85","0","0","571.65","3706.08"
"479","0","0","4","37.95","47.43","2921.92"
"480","0","0","2","9.24","9.24","1223.96"
"481","5","20.77","0","0","1121.64","5014.12"
"482","3","11.08","1","3.69","195.71","2802.7"
"483","5","39.05","4","31.24","851.23","5138.62"
"484","10","42.78",NA,NA,"333.66",NA
"485","393","77.69","440","86.98","1038.27","6915.98"
"486","2","19.2","1","9.6","499.33","2669.48"
"487","0","0","0","0","310.85","1318.76"
"488","24","56","8","18.67","331.36","3903.95"
"489","26","32.88","46","58.18","599.49","5782.44"
"490","4","26.77","1","6.69","260.97","5366.7"
"491","5","12.1","13","31.45","87.1","2893.5"
"492","8","19.48","9","21.91","477.21","4535.94"
"493","4","19.07","3","14.3","290.85","2550.9"
"494","21","38.35","18","32.87","1073.8","6101.28"
"495",NA,NA,"3","21.96",NA,"7430.45"
"496","45","77.83","30","51.89","875.19","6934.07"
"497","30","41.17","14","19.21","889.17","5763.14"
"498","0","0","0","0","351.8","775.57"
"499","4","28.22","3","21.17","536.23","2173.15"
"500","4","7.86","21","41.25","398.76","4482.6"
"501","3","11.32","0","0","200.02","1377.51"
"502","19","48.06","15","37.94","1449.39","10937.42"
"503",NA,NA,"1","3.26",NA,"1655.37"
"504","31","78.18","10","25.22","950.75","7159.61"
"505","30","63.88","19","40.46","1239.22","4682.21"
"506","3","14.09","7","32.88","103.33","2014.94"
"507","10","52.71","9","47.44","326.81","5998.63"
"508","9","24.4","1","2.71","89.45","3588.95"
"509","1","4",NA,NA,"187.87",NA
"510",NA,NA,"3","9.46",NA,"6946.59"
"511","103","56.93","63","34.82","845.63","5590.56"
"512","1","6.57","0","0","341.75","900.37"
"513","2","8.61","1","4.31","103.35","2381.26"
"514","8","33.94","89","377.61","895.24","5965.46"
"515","4","22.19","0","0","1647.53","6002.11"
"516","0","0","0","0","62.14","675.73"
"517","8","59.96","14","104.92","936.82","8086.64"
"518","5","39.97","0","0","295.76","3469.22"
"519",NA,NA,"11","47.58",NA,"8234.94"
"520","8","29.45","6","22.09","261.4","3700.16"
"521","3","14.28","3","14.28","114.23","1975.16"
"522","11","73.71","25","167.52","683.46","4670.33"
"523","19","22.4","33","38.9","544.59","4062"
"524","14","36.6","35","91.49","1280.84","4561.38"
"525","26","73.4","75","211.74","1428.53","6575.2"
"526","8","58.06","3","21.77","137.89","2590.9"
"527","3","24.93","0","0","1329.57","5675.59"
"528","1","5.29","0","0","116.35","3601.46"
"529","17","19.83","48","56","423.52","4252.66"
"530","0","0","0","0","210.18","1719.69"
"531","11","24.24","7","15.43","152.07","3321.36"
"532","66","87.51","23","30.5","690.79","7070.97"
"533","480","87.16",NA,NA,"1968.89",NA
"534","5","24.55","18","88.37","122.74","4217.19"
"535","4","14.32","1","3.58","53.7","1908.07"
"536","8","64.75","5","40.47","493.73","9307.97"
"537","20","31.69","5","7.92","815.98","3669.55"
"538","10","15.12","21","31.75","411.23","6018.78"
"539","7","25.27","3","10.83",NA,"2480.23"
"540","99","50.47","56","28.55","321.68","5118.88"
"541","2","17.7","1","8.85","1300.88","4699.12"
"542",NA,NA,"14","34.42",NA,"5030.12"
"543","4","35.61","4","35.61","80.12","3071.31"
"544",NA,NA,"22","92.68",NA,"5906.14"
"545",NA,NA,"0","0",NA,"4261.51"
"546","2","5.74","5","14.35","421.75","3534.64"
"547","1","8.29","0","0","66.33","3523.75"
"548","27","117.73","0","0","1874.95","14131.86"
"549","42","39.31","23","21.53","1311.2","7568.62"
"550","7","40.88","5","29.2","292","3071.89"
"551","87","92.99","0","0","1130.86","3814.79"
"552",NA,NA,"2","12.62",NA,"2833.17"
"553","78","56.11","113","81.29","1571.14","6672.33"
"554","36","123.33","11","37.68","887.29","7276.46"
"555","2","9.39",NA,NA,"65.71",NA
"556","3","25.97","1","8.66","207.79","2839.83"
"557","1","5.71","2","11.43","51.42","2205.46"
"558","2","19.31","1","9.65","241.31","4662.16"
"559","79","75.77","42","40.28","1333.23","4883.08"
"560","11","84.5","5","38.41","944.85","11622.37"
"561","4","28.93","1","7.23","108.49","3681.47"
"562",NA,NA,"5","26.33",NA,"5224.08"
"563","3","25.61","4","34.14","1724.14","12666.44"
