"","racepctblack","racePctWhite","PctImmigRec5","PctRecImmig5","rapes","rapesPerPop","arsons","arsonsPerPop","ViolentCrimesPerPop","nonViolPerPop"
"79",4.28,75.25,28.48,3.05,"314","69.78","162","36","969.6","9943.53"
"80",7.36,88.58,13.09,0.54,"5","20.94","7","29.31","251.24","3668.03"
"81",5.57,73.69,9.06,0.23,"7","57.36","5","40.97","934.12","5735.82"
"82",4.6,92.63,14.14,0.57,"31","148.32","9","43.06","377.97","4550.02"
"83",0.89,98.1,8.33,0.45,"6","53.92","3","26.96","889.65","2039.9"
"84",0.59,97.87,10.27,0.32,"1","5.74","3","17.23","40.21","1654.22"
"86",12.06,82.54,11.31,0.38,"19","51.17","16","43.09","465.96","5063.56"
"87",9.4,89.79,21.43,0.19,"1","8.83","0","0","150.04","2338.92"
"88",0.54,94.18,14.81,1.85,"0","0","2","16.52","49.56","1032.55"
"89",2.7,94.53,24.91,1.38,"22","51.39","0","0","1812.62","3277.2"
"90",3.01,89.39,22.23,3.57,"2","11.23","2","11.23","129.13","2094.09"
"91",7.67,84.64,29.91,2.3,"479","104.44","604","131.7","1841.38","9577.37"
"92",10.33,83.46,28.79,2.19,"10","31.06","6","18.64","301.31","4038.14"
"93",1.45,72.98,32.19,7.14,"30","21.6","54","38.87","620.53","5352.95"
"94",0.06,98.01,0,0,"2","11.57","0","0","190.84","3302.11"
"95",3.64,82.76,29.78,7.09,"15","22.02","2","2.94","726.59","4174.62"
"96",3.03,93.76,25.43,1.34,"0","0","3","22.37","74.56","3183.72"
"98",1.06,97.38,5.72,0.31,"2","17","0","0","339.96","3739.59"
"99",0.8,95.49,42.9,0.97,"19","37.7","14","27.78","121.02","5247.7"
"100",36.14,53.85,31.16,2.54,"130","108.69","134","112.04","2127.02","10988.76"
"101",15.59,81.67,31.7,0.63,"4","36.38","2","18.19","809.39","6620.59"
"103",0.44,95.21,4.91,0.31,"2","9.72","1","4.86","199.2","2992.91"
"104",41.48,57.56,18.03,0.1,"5","47.14","1","9.43","1527.29","5317.24"
"105",0.16,98.92,5.66,0.19,"1","3.04","3","9.13","85.17","2570.42"
"106",3.83,79.59,28.84,3,"21","32.38","16","24.67","727.83","4976.1"
"107",4.62,58.93,27.07,2.84,"9","42.11","16","74.86","781.32","7265.84"
"108",0.98,88.96,29.6,1.56,"0","0","7","39.54","367.13","3885.91"
"109",0.79,96.25,22.33,0.63,"19","33.52","10","17.64","155.25","5691.4"
"110",6.36,82.79,35.73,2.51,"41","320.61","14","109.48","1634.34","24116.36"
"111",11.49,77.75,14.83,1.23,"1","3.81","2","7.61","251.23","2561.76"
"112",1.08,86.96,24.07,3,"5","14.35","16","45.92","367.33","5934.68"
"113",15.59,83.14,13.79,0.21,"3","16.99","1","5.66","560.56","4218.33"
"114",29.09,68.24,32.56,1.47,"137","100.91","30","22.1","1981.45","12349.83"
"115",8.51,82.51,48.52,8.32,"0","0","1","8.39","83.89","5041.52"
"116",1.2,94.56,35.43,1.17,"2","13.29","3","19.93","39.87","6199.75"
"118",2.55,95.22,38.49,1.88,"0","0","0","0","60.9","2243.88"
"119",0.76,98.02,3.6,0.16,"0","0","2","10.83","70.4","1348.5"
"120",0.51,95.73,69.19,2.38,"9","41.98","10","46.64","242.54","6436.57"
"121",1.26,77.47,20.95,2.23,"29","67.42","47","109.27","574.24","4296.38"
"122",11.07,80.05,26.12,3.91,"7","21.47","8","24.54","288.37","3647.57"
"123",17.38,81.61,20,0.22,"59","83.45","6","8.49","1497.92","7742.79"
"125",25.51,67.85,29.69,1.26,"28","119.98","21","89.99","681.32","7241.72"
"126",0.54,97.63,23.31,0.26,"2","16.18","1","8.09","194.19","2330.29"
"127",3.49,95.03,39.72,0.89,"8","35.33","7","30.91","185.48","3978.98"
"128",13.99,52.83,32.13,12.32,"1773","51.15","5119","147.68","2414.77","6756.86"
"129",0.57,88.39,27.86,11.62,"5","37.76","1","7.55","581.57","5188.82"
"130",0.34,98.9,5.18,0.28,"0","0","29","178.53","197","2074.61"
"131",0.53,96.09,12.14,0.2,"17","61.22","29","104.44","273.7","6766.78"
"133",2.27,96.66,18.75,0.34,"5","23.62","9","42.51","240.92","2078.51"
"134",23.47,52.73,35.56,6.35,"9","27.82","21","64.92","1085.11","3610.84"
"135",1.79,94.7,24.06,0.64,"16","42.82","14","37.46","291.69","2860.66"
"136",9.93,85.14,55.89,3.37,"30","40.15","30","40.15","587.55","5753.71"
"137",0.16,97.25,4.01,0.1,"1","8.34","0","0","650.49","9215.24"
"138",17.71,77.25,20.57,0.6,"4","21.17","6","31.75","465.66","4402.58"
"139",12.49,78.85,24.31,2.55,"0","0","0","0","221.64","5411.19"
"140",1.7,97.7,14.34,0.12,"12","36.13","37","111.41","216.8","3824.15"
"141",1.93,93.28,20.14,0.8,"112","57.16","74","37.76","795.08","7383.29"
"142",0.31,89.69,44.08,0.75,"10","70.93","0","0","361.75","7653.57"
"143",0.29,93.76,14.2,0.57,"28","163.47","27","157.63","525.42","8762.92"
"144",38.25,59.81,24.94,0.46,"22","51.31","2","4.66","1462.29","6068.38"
"145",0.1,99.52,3.58,0.07,"1","5.97","1","5.97","89.61","1153"
"147",0.93,97.6,9.22,0.33,"40","133.72","31","103.63","227.32","3309.49"
"148",31.3,67.17,17.67,2.42,"20","141.32","7","49.46","2649.8","15920.01"
"149",0.47,99,13.29,0.17,"0","0","1","7.75","46.52","806.39"
"150",0.15,97.68,6.22,0.19,"1","6.78","0","0","74.62","4782.25"
"151",5.11,74.68,24.34,13.41,"23","40.64","7","12.37","871.02","4621.91"
"152",3.23,73.48,27.59,6.21,"1","3.38","6","20.26","185.69","2386.9"
"154",29.58,57.37,37.73,6.32,"18","43.39","19","45.81","1501.93","7502.41"
"155",24.96,71,3.33,0.03,"14","44.43","4","12.7","1450.47","3980.07"
"156",42.94,31.69,37.48,11.25,"11","42.35","37","142.44","2344.56","4180.94"
"157",1.59,96.96,27.52,0.82,"8","37.07","0","0","64.88","2335.71"
"158",5.13,88.12,15.43,0.9,"9","23.81","0","0","129.64","3463.15"
"160",0.36,99.14,7.24,0.17,"5","32.6","6","39.12","267.33","2008.22"
"161",0.23,99.11,3.4,0.06,"5","40.23","0","0","160.93","3154.17"
"162",0.22,98.95,16.99,0.46,"1","3.22","1","3.22","80.5","1236.48"
"163",0.14,99.16,6.54,0.04,"2","9.87","4","19.75","399.86","3134.72"
"164",0.44,99.17,33.33,0.07,"1","7.67","1","7.67","69","1694.27"
"165",65.17,32,12.21,0.25,"53","134.07","62","156.83","4877.06","8770.11"
"166",21.14,78.28,0,0,"7","63.69","7","63.69","919.02","9190.17"
"167",25.05,70.9,15.67,1.25,"247","85.21","214","73.82","3235.45","12490.6"
"168",29.5,55.3,27.63,3.45,"1000","95.96","1324","127.05","1744.19","9015.27"
"169",4.72,93.97,76.16,0.86,"6","32.78","0","0","76.49","3999.56"
"170",0.79,93.76,22.6,1.61,"45","77.51","31","53.39","339.31","17859.42"
"171",0.52,95.28,18.62,0.75,"9","32","19","67.55","807","7341.18"
"172",10.38,69.22,19.23,4.52,"7","17.73","1","2.53","932.05","5891.14"
"173",0.24,96.06,35.36,1.6,"5","33.58","6","40.29","235.04","4378.48"
"174",9.71,78.64,28.82,1.24,"42","53.59","52","66.35","1195.53","7043.06"
"175",33.9,63.88,45.96,1.48,"1","4.94","4","19.76","1293.95","9116.95"
"176",43.76,36.18,25.29,3.94,"82","92.77","112","126.72","3239.2","8497.95"
"177",1.02,94.74,10.69,0.78,"20","48.56","8","19.42","364.19","4681.09"
"178",4.06,95.02,12.18,0.17,"6","11.57","11","21.22","179.38","2659.8"
"179",0.1,98.54,0,0,"4","28.91","6","43.37","43.37","3259.85"
"180",1.07,71.46,25.27,8.72,"0","0","0","0","161.69","6854.13"
"182",1.04,98.41,14.21,0.23,"0","0","4","33.8","168.99","2729.19"
"183",0.16,75.37,17.8,3.9,"2","5.11","16","40.86","178.75","5709.91"
"184",13.09,84.93,32.8,0.97,"10","66.14","4","26.46","231.48","4027.78"
"185",5.97,90.82,10.08,0.48,"4","12.91","2","6.45","103.28","2149.5"
"186",0.67,89.1,34.29,1.62,"20","30.4","41","62.32","203.69","6443.62"
"187",1.33,84.31,35.55,7.67,"30","30.33","26","26.28","448.84","7247.12"
"188",3,84.87,16.88,2.06,"3","24.85","17","140.81","356.17","4472.79"
"189",18.69,76.63,17.64,2.1,"2","12.01","0","0","672.35","7311.8"
"190",0.56,91.22,24.77,1.29,"6","44.94","9","67.41","981.2","7182.98"
"191",0.44,98.73,26.51,0.21,"7","44.38","2","12.68","190.21","2675.63"
"192",21.63,76.04,33.82,0.98,"9","40.21","12","53.61","446.77","3471.38"
"193",0.67,96.74,29.89,1.02,"1","5.29","1","5.29","31.75","1423.43"
"194",17.58,58.6,29.16,5.46,"18","34.42","18","34.42","868.12","4843.49"
"195",0.93,90.3,18.42,2.31,"13","15.43","35","41.55","225.56","2945.37"
"196",13.68,58.38,31.62,7.67,"200","45.87","243","55.73","1631.98","6595.13"
"198",42.5,57.03,30.54,0.35,"12","74.69","7","43.57","1419.06","8956.25"
"199",2.76,75.88,29.3,5.47,"28","29.99","23","24.63","519.47","6434.96"
"200",0.86,97.63,11.87,0.59,"4","10.27","4","10.27","87.26","3174.56"
"201",3.48,93.08,25.17,2.86,"18","19.14","4","4.25","294.6","4176.5"
"202",1.26,97.99,2.04,0.06,"1","7.6","0","0","53.2","1968.23"
"204",4.08,71.62,19.37,4.67,"8","19.63","10","24.54","282.16","4480.21"
"205",43.48,55.19,31.53,0.57,"17","37.19","3","6.56","958.15","6354.87"
"206",15.98,74.78,24.43,1.03,"515","110.46","420","90.08","1389.87","9710.83"
"207",4.68,71.3,26.57,1.9,"3","25.49","6","50.99","1240.65","5319.51"
"208",0.89,78.96,4,0.13,"8","38.55","22","106.02","674.67","6809.31"
"209",0.18,93.51,14.1,0.42,"2","18.94","2","18.94","161.02","4328.47"
"210",6.85,86.16,28.67,2.56,"3","13.67","9","41.02","332.73","4193.25"
"211",7.13,83.93,22.91,1.06,"43","99.97","6","13.95","620.71","4840.17"
"213",4.17,59.91,18.96,5.24,"2","12.43","12","74.59","372.95","4090"
"215",0.24,55.84,27.48,6.4,"3","22.02","1","7.34","587.33","4977.61"
"216",5.38,91.2,23.62,1.76,"0","0","0","0","210.79","3812.33"
"217",0.19,97.51,10.83,0.29,"10","41.02","8","32.82","500.47","9463.84"
"218",1.72,94.97,13.34,0.98,"0","0","0","0","75.72","1216.94"
"219",0.86,94.07,27.22,0.51,"34","66.73","10","19.63","345.45","4100.26"
"220",4.35,91.05,8.85,0.28,"11","83.97","13","99.24","1687.02","8763.36"
"221",28.59,69.89,15.48,0.32,"29","43.69","21","31.64","394.74","4197.55"
"222",7.73,86.42,16.59,0.22,"5","27.45","7","38.44","340.43","5221.83"
"225",55.3,39.76,24.01,5.23,"31","47.15","27","41.07","1446.56","5381.64"
"226",3.25,95.34,9.37,0.1,"6","19.87","23","76.16","271.52","3533.11"
"227",49.86,48.46,20.41,0.18,"8","47.43","0","0","788.52","6474.18"
"228",3.2,95.56,14.29,0.11,"20","170.98","1","8.55","393.26","4719.16"
"229",22.12,75.92,54.19,0.73,"21","83.96","14","55.97","1783.14","9719.33"
"230",0.42,97.93,16.22,1.74,"5","27.52","0","0","77.05","2140.89"
"231",20.83,75.97,10.6,0.3,"9","25.31","9","25.31","275.58","4729.9"
"232",0.67,98.15,10.12,0.11,"4","22.79","6","34.19","74.08","4348.07"
"233",2.33,96.7,33.72,0.62,"11","29.57","1","2.69","400.56","2510.89"
"234",20.12,77.74,25.09,3.14,"15","28.84","6","11.54","1357.38","7225.26"
"235",0.79,96.23,23.45,1.41,"1","6.26","0","0","56.31","2239.74"
"237",3.73,93.69,11.37,0.32,"4","28.67","7","50.17","394.21","3168"
"238",45.35,53.97,20.21,0.09,"19","44.13","10","23.23","445.94","4287.54"
"239",0.48,98.32,3.71,0.18,"0","0","4","26.11","522.13","6363.4"
"240",5.43,92.39,27.63,0.6,"2","12.89","0","0","96.69","2604.1"
"241",56.07,39.68,11.7,0.78,"10","26.92","18","48.45","293.41","3459.04"
"242",2.03,91.38,17.43,2.5,"0","0","1","7.95","71.54","1438.79"
"244",0.46,98.47,5.41,0.25,"3","14.23","0","0","37.95","2334.19"
"245",37.7,61.68,11.05,0.09,"11","45.49","3","12.41","516.96","6273.78"
"246",0.61,98.44,9.02,0.21,"4","25.4","6","38.1","82.54","4387.58"
"247",34.81,51.25,39.83,4.82,"26","101.33","22","85.74","1555.07","5214.75"
"248",0.41,99.05,0,0,"3","11.35","0","0","52.95","1879.8"
"249",20.01,76.76,18.53,2.96,"8","21.77","16","43.53","530.57","4674.45"
"251",19.14,76.84,27.33,1,"13","77.8","14","83.78","1358.47","10029.92"
"252",4.11,84.71,38.92,6.05,"3","18.81","4","25.08","94.07","2966.26"
"253",4.58,91.47,24.52,2.27,"2","6.78","1","3.39","88.16","2170.08"
"254",3.77,80.2,16.22,1.56,"5","42.8","0","0","316.75","5624.52"
"255",26.14,34.72,19.19,5.18,"28","30.95","44","48.63","1267.73","4148.02"
"256",1.04,98.45,0.37,0.03,"3","7.81","7","18.21","106.68","2016.5"
"257",6.81,91.94,4.85,0.19,"10","32.54","2","6.51","191.96","3702.5"
"258",0.7,98.16,25.44,0.36,"6","35.72","12","71.45","142.9","3876.15"
"259",3.85,92.82,24.35,2.66,"21","36.09","5","8.59","536.18","6743.54"
"260",0.85,97.55,27.71,0.62,"17","89.76","0","0","1678.99","4102.43"
"261",4.14,95.21,1.46,0.05,"3","13.92","3","13.92","241.28","2032.29"
"262",15.78,83.6,0,0,"5","33.55","7","46.97","972.89","7722.76"
"263",0.41,98.89,18.42,0.07,"2","18.13","0","0","90.65","2085.03"
"264",2.92,79.24,23.3,3.81,"3","14.42","6","28.83","1287.84","3061.03"
"265",1.52,96.79,12.52,0.65,"7","14.26","5","10.18","136.48","5457.1"
"266",8.9,89.54,7.29,0.1,"28","60.3","5","10.77","488.86","5127.6"
"267",17.37,81.92,39.86,0.39,"6","41.55","8","55.41","609.46","8899.51"
"269",1.6,87.04,24.77,3.08,"17","26.33","3","4.65","599.45","5636.7"
"270",27.56,71.41,24.12,0.79,"16","81.16","4","20.29","2018.97","6665.65"
"271",0.18,97.58,10.35,0.55,"0","0","0","0","33.66","3322.75"
"272",1.28,98.06,29.03,0.18,"9","59.12","0","0","216.78","4920.19"
"273",0.52,96.17,26.22,1.63,"7","20.76","16","47.44","136.4","2570.87"
"274",2.88,86.07,34.48,4.11,"129","84.7","72","47.28","687.49","6957.6"
"275",0.57,98.69,6.97,0.3,"1","3.65","5","18.26","91.31","3360.24"
"278",3.54,63.92,28.02,10.41,"18","45.89","6","15.3","1664.84","3049.23"
"279",1.05,90.6,21.74,2.83,"10","16.04","23","36.89","293.54","4252.35"
"280",0.13,93.05,49.58,2.57,"6","15.34","6","15.34","48.58","3809.48"
"281",3.04,92.46,25.46,2.34,"12","14.53","1","1.21","283.39","3105.21"
"282",0.83,94.56,10.25,0.33,"2","11.21","1","5.61","302.76","2315.54"
"284",0.62,63.53,22.3,4.62,"1","4.52","26","117.6","918.22","4758.46"
"285",1.06,95.63,14.63,1.5,"2","14.41","1","7.2","86.45","3385.92"
"286",8.08,88.65,25.12,1.31,"16","66.54","43","178.84","1185.33","8754.78"
"287",1.09,91.68,25.86,2.9,"24","28.4","21","24.85","369.24","3235.58"
"290",38.14,60.42,11.25,0.15,"23","48.81","5","10.61","2047.92","6650.96"
"291",0.57,94.28,21.16,0.72,"19","19.42","27","27.6","266.81","3574.9"
"292",0.09,99.37,0,0,"1","9.4","5","47.02","84.64","3348.07"
"293",2.6,76.09,30.43,3.95,"23","70.54","9","27.6","644.09","7560.42"
"294",3.59,89.25,20.31,3.6,"29","42.33","14","20.43","458.28","5702.23"
"296",0.66,95.64,14.92,1.3,"1","6.99","0","0","160.76","1579.65"
"298",12.99,70.45,23.43,4.33,"17","55.72","58","190.11","1379.97","6667.1"
"299",1.72,87.02,33.75,2.8,"204","116.06","80","45.52","797.66","9746.54"
"300",2.44,95.6,11.48,0.19,"9","21.8","9","21.8","213.14","3415.12"
"301",52.91,46.31,38.24,0.24,"0","0","4","22.51","607.8","5183.18"
"302",58.37,41.41,5.75,0.01,"31","96.64","38","118.46","2758.9","9695.12"
"303",7.98,89.38,34.1,1.2,"8","27.92","7","24.43","342.06","5755.67"
"304",5.46,93.29,17.2,0.24,"2","16.18","2","16.18","186.04","6834.91"
"305",0.85,97.5,13.61,0.94,"9","15.7","6","10.47","111.67","2364.17"
"307",1.27,98.27,3.16,0.21,"0","0","0","0","353.42","3769.81"
"308",12.99,86.4,6.2,0.05,"0","0","7","36.83","1046.93","5808.08"
"310",10.76,88.29,12.21,0.1,"14","51.45","48","176.41","782.8","5001.84"
"311",21.26,75.56,31.95,1.45,"18","77.12","0","0","2523.46","10385.16"
"312",0.56,96.62,11.38,0.43,"5","26.46","6","31.75","280.44","1968.36"
"314",0.39,98.35,10.32,0.28,"1","7.78","1","7.78","155.62","3906.01"
"315",0.61,90.3,16.93,2.85,"1","9.13","0","0","82.15","1579.19"
"316",13.81,67.45,24.37,3.01,"58","41.43","50","35.71","1201.33","5823.11"
"317",0.14,92.8,0,0,"8","58.23","3","21.84","291.16","5553.94"
"318",0.77,94.1,17.51,1.7,"1","6.85","0","0","185.08","2796.82"
"319",16.48,75.1,25.11,1.84,"30","103.62","12","41.45","417.93","5253.52"
"320",0.72,97.78,19.75,0.6,"14","23.48","19","31.87","134.19","4198.4"
"321",0.21,98.5,3.47,0.04,"2","13.45","0","0","208.53","5596.66"
"322",1.05,91.23,17.51,2.56,"0","0","0","0","57.31","1690.74"
"324",13.68,85.05,11.41,0.12,"7","28.97","1","4.14","446.95","5466.81"
"325",0.29,98.16,9.69,0.39,"4","17.69","7","30.95","154.77","5576.19"
"326",4.59,94.24,37.93,0.51,"8","39.04","12","58.55","121.99","3635.21"
"327",0.56,98.11,14.2,0.79,"2","7.31","0","0","73.07","1633.06"
"328",0.5,98.24,6.2,0.55,"0","0","0","0","65.46","2475.6"
"329",25.08,73.83,4.78,0.06,"10","43.89","4","17.56","535.49","5174.91"
"330",0.14,97.11,6.98,0.28,"0","0","6","22.62","252.63","2869.42"
"331",35.16,63.62,30.6,0.61,"38","63.38","26","43.37","1756.32","8930.03"
"332",1.97,87.97,62.32,6.33,"6","26.01","2","8.67","212.45","1634.58"
"333",0.11,98.65,5.82,0.07,"1","6.15","0","0","36.89","2391.49"
"335",1.17,90.13,15.96,2.24,"2","7.85","2","7.85","368.76","2032.09"
"336",20,76.16,37.63,1.14,"27","117.11","22","95.42","1439.97","8245.14"
"337",0.97,87.45,22.46,4.35,"4","14.4","9","32.39","273.51","4322.17"
"338",1.28,96.72,33.85,0.99,"0","0","0","0","75.52","3295.57"
"339",1.19,96.96,12.63,0.58,"2","7.16","0","0","71.56","1703.16"
"340",0.82,97.89,16.93,0.57,"0","0","8","51.75","310.48","4482.54"
"341",2.18,94.68,0,0,"1","9.54","13","123.99","152.6","2784.93"
"342",50.6,42.59,29.61,0.86,"67","123.32","22","40.49","2105.73","7093.95"
"343",0.96,94.52,9.44,0.16,"6","21.44","0","0","368.05","3541.18"
"344",30.65,64.75,18.49,0.83,"295","94.43","434","138.93","1933.77","8407.3"
"345",54.99,44.22,17.15,0.17,"55","66.47","2","2.42","1363.32","9960.24"
"346",29.83,65,9.38,0.19,"11","45.96","29","121.17","480.51","5214.56"
"347",1.01,97.47,11.99,0.78,"12","13.91","7","8.11","303.72","4529.07"
"348",2.89,89.61,23.11,4.61,"1","4.4","1","4.4","206.88","3913.02"
"350",16.22,81.99,17.05,1.1,"47","85.08","24","43.45","1846.45","10816.24"
"353",1.47,74.77,29,3.26,"24","28.07","13","15.2","776.61","6940.35"
"354",0.24,97.76,4.65,0.21,"2","8.77","4","17.53","319.99","4436.07"
"355",26.28,71.99,30.36,4.34,"28","54.05","13","25.09","1399.48","11091.59"
"356",0.6,98.26,19.13,0.6,"0","0","3","22.87","442.24","1921.46"
"357",2.4,73.97,11.42,1.43,"0","0","0","0","173.77","2999.82"
"358",12.27,65.07,6.36,0.29,"14","69.17","2","9.88","765.85","5850.09"
"360",11.97,77.37,17.01,1.19,"4","10.1","8","20.2","111.07","3115.14"
"361",14.08,83.71,10.71,0.35,"31","110.26","0","0","1454.74","16628.13"
"362",28.33,42.28,29.19,8.56,"57","75.29","81","106.99","2541.38","6879.15"
"363",51.31,46.85,20.1,0.39,"89","62.02","43","29.96","987.42","7902.86"
"364",0.5,98.33,8.11,0.15,"1","7.08","2","14.17","92.08","2075.36"
"367",34.1,64.19,26.11,0.46,"52","103.59","8","15.94","1577.75","9695.61"
"368",10.39,86.05,16.78,1.56,"20","79.79","3","11.97","1523.92","13751.15"
"369",1.19,74.64,26.42,3.87,"7","33.62","0","0","619.51","3424.1"
"370",2.13,93.26,32.92,5.75,"0","0","6","10.11","52.25","2326.01"
"371",15.3,60.09,24.15,3.31,"167","44.43","164","43.64","1290.43","9258.87"
"372",20.2,78.12,16.11,0.69,"45","62.2","15","20.73","1523.3","13032.36"
"373",1.58,97.18,15.5,0.4,"26","32.46","25","31.21","288.4","3274.74"
"374",2.09,97.32,6.76,0.18,"0","0","0","0","73.23","421.09"
"375",2.13,95.03,32.01,0.45,"25","57.78","23","53.16","524.67","6233.68"
"377",11.12,88.2,20.86,0.27,"1","5.04","1","5.04","80.61","2377.95"
"378",70.33,23.96,26.35,5.48,"29","95.34","24","78.91","2594.03","9360.21"
"379",1.67,41.65,24.7,12.18,"27","29.23","28","30.31","1097.77","4261.17"
"380",22.01,63.79,22.64,2.04,"507","110.14","419","91.02","1516.12","9393.66"
"381",10.84,87.86,14.77,0.34,"1","3.35","0","0","951.3","8119.51"
"383",0.78,96.92,4.85,0.04,"4","29.08","3","21.81","189.01","3518.46"
"384",15.66,79.29,15.39,3.09,"10","20.53","13","26.68","743.07","5412.89"
"385",5.24,90.35,27.74,2.97,"1","3.81","8","30.51","228.86","4519.97"
"386",12.22,82.41,24.73,1.12,"0","0","0","0","7.79","116.79"
"387",23.93,63.14,41.09,0.39,"7","51.25","7","51.25","995.75","6252.75"
"388",0.35,95.81,18.2,1.65,"25","35.2","40","56.32","387.2","4864.62"
"389",3.32,87.75,24.42,2.27,"13","39.57","3","9.13","328.75","4069.77"
