,,rapes,rapesPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop
,255,1,6.99,0,0,160.76,1579.65
,256,17,55.72,58,190.11,1379.97,6667.1
,257,204,116.06,80,45.52,797.66,9746.54
,258,9,21.8,9,21.8,213.14,3415.12
,259,0,0,4,22.51,607.8,5183.18
,260,31,96.64,38,118.46,2758.9,9695.12
,261,8,27.92,7,24.43,342.06,5755.67
,262,2,16.18,2,16.18,186.04,6834.91
,263,9,15.7,6,10.47,111.67,2364.17
,264,0,0,0,0,353.42,3769.81
,265,0,0,7,36.83,1046.93,5808.08
,266,14,51.45,48,176.41,782.8,5001.84
,267,18,77.12,0,0,2523.46,10385.16
,268,5,26.46,6,31.75,280.44,1968.36
,269,1,7.78,1,7.78,155.62,3906.01
,270,1,9.13,0,0,82.15,1579.19
,271,58,41.43,50,35.71,1201.33,5823.11
,272,8,58.23,3,21.84,291.16,5553.94
,273,1,6.85,0,0,185.08,2796.82
,274,30,103.62,12,41.45,417.93,5253.52
,275,14,23.48,19,31.87,134.19,4198.4
,276,2,13.45,0,0,208.53,5596.66
,277,0,0,0,0,57.31,1690.74
,278,7,28.97,1,4.14,446.95,5466.81
,279,4,17.69,7,30.95,154.77,5576.19
,280,8,39.04,12,58.55,121.99,3635.21
,281,2,7.31,0,0,73.07,1633.06
,282,0,0,0,0,65.46,2475.6
,283,10,43.89,4,17.56,535.49,5174.91
,284,0,0,6,22.62,252.63,2869.42
,285,38,63.38,26,43.37,1756.32,8930.03
,286,6,26.01,2,8.67,212.45,1634.58
,287,1,6.15,0,0,36.89,2391.49
,288,2,7.85,2,7.85,368.76,2032.09
,289,27,117.11,22,95.42,1439.97,8245.14
,290,4,14.4,9,32.39,273.51,4322.17
,291,0,0,0,0,75.52,3295.57
,292,2,7.16,0,0,71.56,1703.16
,293,0,0,8,51.75,310.48,4482.54
,294,1,9.54,13,123.99,152.6,2784.93
,295,67,123.32,22,40.49,2105.73,7093.95
,296,6,21.44,0,0,368.05,3541.18
,297,295,94.43,434,138.93,1933.77,8407.3
,298,55,66.47,2,2.42,1363.32,9960.24
,299,11,45.96,29,121.17,480.51,5214.56
,300,12,13.91,7,8.11,303.72,4529.07
,301,1,4.4,1,4.4,206.88,3913.02
,302,47,85.08,24,43.45,1846.45,10816.24
,303,24,28.07,13,15.2,776.61,6940.35
,304,2,8.77,4,17.53,319.99,4436.07
,305,28,54.05,13,25.09,1399.48,11091.59
,306,0,0,3,22.87,442.24,1921.46
,307,0,0,0,0,173.77,2999.82
,308,14,69.17,2,9.88,765.85,5850.09
,309,4,10.1,8,20.2,111.07,3115.14
,310,31,110.26,0,0,1454.74,16628.13
,311,57,75.29,81,106.99,2541.38,6879.15
,312,89,62.02,43,29.96,987.42,7902.86
,313,1,7.08,2,14.17,92.08,2075.36
,314,52,103.59,8,15.94,1577.75,9695.61
,315,20,79.79,3,11.97,1523.92,13751.15
,316,7,33.62,0,0,619.51,3424.1
,317,0,0,6,10.11,52.25,2326.01
,318,167,44.43,164,43.64,1290.43,9258.87
,319,45,62.2,15,20.73,1523.3,13032.36
,320,26,32.46,25,31.21,288.4,3274.74
,321,0,0,0,0,73.23,421.09
,322,25,57.78,23,53.16,524.67,6233.68
,323,1,5.04,1,5.04,80.61,2377.95
,324,29,95.34,24,78.91,2594.03,9360.21
,325,27,29.23,28,30.31,1097.77,4261.17
,326,507,110.14,419,91.02,1516.12,9393.66
,327,1,3.35,0,0,951.3,8119.51
,328,4,29.08,3,21.81,189.01,3518.46
,329,10,20.53,13,26.68,743.07,5412.89
,330,1,3.81,8,30.51,228.86,4519.97
,331,0,0,0,0,7.79,116.79
,332,7,51.25,7,51.25,995.75,6252.75
,333,25,35.2,40,56.32,387.2,4864.62
,334,13,39.57,3,9.13,328.75,4069.77
,335,6,24.68,3,12.34,1205.17,4972.85
,336,7,18.28,5,13.06,509.18,6256.36
,337,11,30.35,8,22.07,140.72,2579.88
,338,18,57.74,17,54.53,878.94,4994.55
,339,13,24.9,7,13.41,294.92,3347.5
,340,2,14.77,5,36.91,155.04,3521.59
,341,4,26.1,22,143.58,202.31,1461.85
,342,8,36.29,7,31.75,185.97,1560.37
,343,0,0,10,66.84,133.68,4398.1
,344,1,8.3,1,8.3,190.95,1992.53
,345,2,6.56,1,3.28,62.29,1331.02
,346,26,233.58,10,89.84,2650.26,16233.94
,347,3,22.54,2,15.03,405.71,7505.63
,348,11,35,0,0,264.07,4088.32
,349,20,84.41,7,29.54,485.38,8352.68
,350,3,14.18,3,14.18,103.96,1960.97
,351,3,19.15,9,57.45,1640.6,4857.96
,352,4,21.73,1,5.43,217.26,3590.24
,353,8,67.74,2,16.94,279.45,4293.34
,354,17,38.14,11,24.68,567.54,5334.47
,355,75,70.02,33,30.81,269.82,2762.66
,356,14,35.52,12,30.45,880.44,5158.33
,357,104,98.09,62,58.48,1093.15,8755.56
,358,11,86.07,7,54.77,1095.46,8356.81
,359,0,0,0,0,178.57,3890.98
,360,0,0,4,30.79,138.57,6497.31
,361,4,24.25,4,24.25,181.86,2837.05
,362,26,30.97,36,42.89,1380.76,4782.04
,363,25,41.57,32,53.21,1486.61,8773.3
,364,60,96.87,33,53.28,2423.47,9811.74
,365,4,11.93,1,2.98,772.3,7242.96
,366,3,5.3,10,17.68,758.39,8050.63
,367,6,36.12,1,6.02,234.77,5116.78
,368,28,68.01,15,36.43,699.49,6028.22
,369,10,45.92,2,9.18,225.01,7833.95
,370,5,36.3,1,7.26,500.94,1989.26
,371,4,9.95,6,14.92,106.93,2511.63
,372,5,13.66,6,16.4,284.21,2828.41
,373,1,5.93,2,11.87,634.79,7937.83
,374,2,9.52,0,0,52.35,1380.23
,375,1,5.41,2,10.81,264.97,5531.82
,376,1,8.1,4,32.41,81.02,1531.36
,377,1,7.01,0,0,140.18,4247.56
,378,29,55.04,15,28.47,1195.76,6305.28
,379,0,0,1,7.09,63.81,453.77
,380,7,25.38,2,7.25,264.67,2472.72
,381,2,16.58,2,16.58,99.47,2138.59
,382,2,10.32,4,20.64,443.73,5737.58
,383,10,47.91,3,14.37,201.24,3085.62
,384,9,53.62,2,11.92,208.53,2818.16
,385,12,30.65,69,176.23,168.57,4627.88
,386,2,7.17,2,7.17,426.57,4262.11
,387,0,0,5,41.27,354.96,4424.63
,388,0,0,0,0,339.73,4416.49
,389,0,0,1,5.94,47.5,2707.68
,390,361,48.89,488,66.09,1810.07,7754.23
,391,18,40.12,22,49.03,686.47,5304.57
,392,18,38.24,26,55.24,220.96,4890.8
,393,13,79.42,7,42.76,2089.32,12658.07
,394,6,19.14,11,35.08,494.37,2730.2
,395,5,8.78,9,15.81,332,4526.77
,396,49,56.01,137,156.6,1651.73,10954
,397,0,0,4,18.14,9.07,1324.5
,398,12,58.73,30,146.83,161.51,5594.17
,399,0,0,1,8.42,168.48,2822
,400,22,28.84,8,10.49,602.99,4846.24
,401,52,65,29,36.25,342.53,4705.35
,402,59,54.34,63,58.02,770.88,4328.73
,403,36,39.77,10,11.05,157.99,3935.3
,404,7,18.71,20,53.45,374.18,6406.52
,405,16,138.7,9,78.02,468.1,4776.35
,406,12,41.11,3,10.28,352.88,7276.96
,407,25,43.02,8,13.77,533.46,5551.44
,408,3,26.28,0,0,70.08,2531.53
,409,11,13.29,11,13.29,305.77,5248.85
,410,12,34.3,17,48.59,122.91,3126.97
,411,2,12.85,0,0,571.65,3706.08
,412,0,0,4,37.95,47.43,2921.92
,413,0,0,2,9.24,9.24,1223.96
,414,5,20.77,0,0,1121.64,5014.12
,415,3,11.08,1,3.69,195.71,2802.7
,416,5,39.05,4,31.24,851.23,5138.62
,417,393,77.69,440,86.98,1038.27,6915.98
,418,2,19.2,1,9.6,499.33,2669.48
,419,0,0,0,0,310.85,1318.76
,420,24,56,8,18.67,331.36,3903.95
,421,26,32.88,46,58.18,599.49,5782.44
,422,4,26.77,1,6.69,260.97,5366.7
,423,5,12.1,13,31.45,87.1,2893.5
,424,8,19.48,9,21.91,477.21,4535.94
,425,4,19.07,3,14.3,290.85,2550.9
,426,21,38.35,18,32.87,1073.8,6101.28
,427,45,77.83,30,51.89,875.19,6934.07
,428,30,41.17,14,19.21,889.17,5763.14
,429,0,0,0,0,351.8,775.57
,430,4,28.22,3,21.17,536.23,2173.15
,431,4,7.86,21,41.25,398.76,4482.6
,432,3,11.32,0,0,200.02,1377.51
,433,19,48.06,15,37.94,1449.39,10937.42
,434,31,78.18,10,25.22,950.75,7159.61
,435,30,63.88,19,40.46,1239.22,4682.21
,436,3,14.09,7,32.88,103.33,2014.94
,437,10,52.71,9,47.44,326.81,5998.63
,438,9,24.4,1,2.71,89.45,3588.95
,439,103,56.93,63,34.82,845.63,5590.56
,440,1,6.57,0,0,341.75,900.37
,441,2,8.61,1,4.31,103.35,2381.26
,442,8,33.94,89,377.61,895.24,5965.46
,443,4,22.19,0,0,1647.53,6002.11
,444,0,0,0,0,62.14,675.73
,445,8,59.96,14,104.92,936.82,8086.64
,446,5,39.97,0,0,295.76,3469.22
,447,8,29.45,6,22.09,261.4,3700.16
,448,3,14.28,3,14.28,114.23,1975.16
,449,11,73.71,25,167.52,683.46,4670.33
,450,19,22.4,33,38.9,544.59,4062
,451,14,36.6,35,91.49,1280.84,4561.38
,452,26,73.4,75,211.74,1428.53,6575.2
,453,8,58.06,3,21.77,137.89,2590.9
,454,3,24.93,0,0,1329.57,5675.59
,455,1,5.29,0,0,116.35,3601.46
,456,17,19.83,48,56,423.52,4252.66
,457,0,0,0,0,210.18,1719.69
,458,11,24.24,7,15.43,152.07,3321.36
,459,66,87.51,23,30.5,690.79,7070.97
,460,5,24.55,18,88.37,122.74,4217.19
,461,4,14.32,1,3.58,53.7,1908.07
,462,8,64.75,5,40.47,493.73,9307.97
,463,20,31.69,5,7.92,815.98,3669.55
,464,10,15.12,21,31.75,411.23,6018.78
,465,99,50.47,56,28.55,321.68,5118.88
,466,2,17.7,1,8.85,1300.88,4699.12
,467,4,35.61,4,35.61,80.12,3071.31
,468,2,5.74,5,14.35,421.75,3534.64
,469,1,8.29,0,0,66.33,3523.75
,470,27,117.73,0,0,1874.95,14131.86
,471,42,39.31,23,21.53,1311.2,7568.62
,472,7,40.88,5,29.2,292,3071.89
,473,87,92.99,0,0,1130.86,3814.79
,474,78,56.11,113,81.29,1571.14,6672.33
,475,36,123.33,11,37.68,887.29,7276.46
,476,3,25.97,1,8.66,207.79,2839.83
,477,1,5.71,2,11.43,51.42,2205.46
,478,2,19.31,1,9.65,241.31,4662.16
,479,79,75.77,42,40.28,1333.23,4883.08
,480,11,84.5,5,38.41,944.85,11622.37
,481,4,28.93,1,7.23,108.49,3681.47
,482,3,25.61,4,34.14,1724.14,12666.44
,483,4,24.45,10,61.12,61.12,2573.19
,484,2,15.59,0,0,179.32,2541.71
,485,11,78.1,4,28.4,198.79,4195.95
,486,12,66.79,15,83.49,322.81,7446.99
,487,1,8.88,4,35.52,124.32,5834.3
,488,1,8.49,1,8.49,84.88,3140.65
,489,7,54.14,3,23.2,170.15,3480.28
,490,0,0,0,0,74.96,2657
,491,32,37.37,41,47.88,223.06,5492.49
,492,0,0,3,25.83,103.33,5967.45
,493,11,52.95,5,24.07,245.51,4178.5
,494,5,44.87,0,0,358.97,4549.94
,495,3,8.97,1,2.99,505.1,1736.45
,496,9,29.71,34,112.25,997.03,6857.05
,497,1,9.52,1,9.52,295.04,2217.57
,498,7,20.83,9,26.78,151.78,4264.75
,499,2,6.15,0,0,64.61,4335.25
,500,177,77.28,158,68.99,2978.69,13039.07
,501,9,49.3,2,10.96,158.85,4015.12
,502,7,49.15,0,0,1390.25,6593.18
,503,12,51.82,7,30.23,133.87,2996.93
,504,8,52.97,0,0,1483.15,5038.73
,505,8,47.15,3,17.68,724.94,5216.01
,506,25,69.26,15,41.56,872.72,11109.88
,507,3,15.26,16,81.37,300.04,3951.38
,508,19,64.32,1,3.39,744.75,3930.26
,509,0,0,3,25.93,267.96,4295.96
,510,19,62.77,3,9.91,1318.22,7522.8
,511,0,0,4,29.46,198.88,1996.17
,512,3,12.83,3,12.83,72.71,2993.76
,513,2,8.18,9,36.79,102.2,2959.81
,514,68,61.46,60,54.23,2078.85,5569.51
,515,1,6.95,6,41.69,62.53,5822.68
,516,1,4.64,0,0,427.27,4230.91
,517,4,16.02,47,188.27,348.5,3633.23
,518,20,77.9,21,81.8,1336.03,10571.42
,519,62,59.88,9,8.69,435.6,4114.51
,520,1,7.29,1,7.29,196.79,4810.5
,521,339,89.88,249,66.02,1304.78,6544.31
,522,8,16.31,3,6.11,313.89,2631.36
,523,9,26.22,0,0,1678.08,4253.46
,524,2,11.19,0,0,151.13,1354.53
,525,3,7.48,1,2.49,184.39,2554.01
,526,3,16.65,2,11.1,127.65,3446.55
,527,4,21.14,18,95.15,375.3,5079.82
,528,33,33.62,28,28.53,223.14,5388.97
,529,3,8.74,2,5.82,58.24,1243.34
,530,12,88.53,4,29.51,1032.91,5267.82
,531,0,0,0,0,566.68,2172.27
,532,17,97.27,19,108.71,457.72,8759.58
,533,10,92.17,0,0,645.16,1004.61
,534,4,27.37,13,88.94,485.77,6499.73
,535,0,0,1,8.05,209.22,1335.8
,536,2,18.73,1,9.36,280.93,11021.63
,537,2,11.48,8,45.93,281.32,4638.88
,538,2,14.27,2,14.27,99.9,1705.44
,539,8,25.07,14,43.88,316.55,6255.88
,540,1,8.47,2,16.95,355.9,1491.4
,541,1,4.97,1,4.97,29.8,1217.03
,542,0,0,12,83.73,286.09,4340.24
,543,0,0,2,8.04,44.22,2235.18
,544,81,56.02,389,269.03,1627.33,5693.22
,545,8,23.99,6,18,110.97,4975.71
,546,40,82.84,24,49.71,816.02,6677.3
,547,0,0,0,0,138.91,2241.7
,548,4,35.55,1,8.89,177.73,5936.19
,549,2,14.28,0,0,585.46,6568.61
,550,215,118.9,174,96.23,3255.71,12364.16
,551,5,26.63,10,53.27,591.24,7995.1
,552,11,33.8,19,58.38,577.61,8249.35
,553,7,49.28,1,7.04,288.65,2970.99
,554,24,118.01,12,59,1607.83,11977.58
,555,23,49.58,39,84.06,581.98,5701.29
,556,3,19.13,1,6.38,44.64,4591.25
,557,1,8.34,0,0,141.75,3985.66
,558,98,144.36,11,16.2,2264.09,11491.32
,559,28,51.55,13,23.93,1818.82,10855.84
,560,9,14.85,17,28.04,138.56,3294.13
,561,7,30.73,0,0,122.9,3256.96
,562,4,20.24,3,15.18,75.88,1365.91
,563,1,7.92,0,0,324.52,2857.37
,564,2,18.2,7,63.69,1264.79,5996.36
,565,3,8.36,7,19.5,559.86,5439.81
,566,0,0,0,0,21.66,2642.98
,567,1,7.24,0,0,188.13,1960.93
,568,1,7.7,4,30.81,169.44,5460.57
,569,173,88.66,145,74.31,1424.74,11722.35
,570,17,39.25,12,27.71,658.05,4167.63
,571,0,0,2,12.67,82.38,1907.48
,572,4,26.21,3,19.66,281.76,2974.9
,573,9,35.97,1,4,623.55,4592.69
,574,269,150.01,260,144.99,1629.43,9465.95
,575,25,35.8,29,41.52,904.94,7150.73
,576,4,30.79,0,0,153.93,2285.85
,577,3,19.83,0,0,198.28,4586.91
,578,11,76.68,1,6.97,223.06,4642.41
,579,13,57.59,0,0,699.98,7323.23
,580,1,7.93,2,15.86,71.35,4043.13
,581,7,14.09,4,8.05,366.34,5410.63
,582,19,79.5,2,8.37,292.91,4946.02
,583,3,21.07,0,0,252.9,5212.5
,584,0,0,2,13.86,408.98,4817.69
,585,6,21.17,11,38.81,105.84,2007.34
,586,5,38.28,6,45.94,145.47,2802.24
,587,18,32.02,4,7.12,327.36,4109.74
,588,0,0,3,17.49,99.13,1737.61
,589,5,7.01,1,1.4,68.68,1572.73
