,rapes,rapesPerPop,arsons,arsonsPerPop,ViolentCrimesPerPop,nonViolPerPop,imputed_rapes,imputed_rapesR,imputed_ViolentCrimesPerPop,ViolentCrimesPerPopR,imputed_arsons,arsonsR,imputed_arsonsPerPop,arsonsPerPopR,imputed_nonViolPerPop,nonViolPerPopR,imputed_rapesPerPop,rapesPerPopR,,,,imputed_rapes,imputed_ViolentCrimesPerPop,imputed_arsons,imputed_arsonsPerPop,imputed_nonViolPerPop,imputed_rapesPerPop,
21,NA,NA,62,102.13,NA,3131.33,0,8,223.06,1121.64,62,62,102.13,102.13,3131.33,3131.33,0,0,,,,0,223.06,62,102.13,3131.33,0,
22,2818,38.5,4443,60.7,2097.71,6164.95,2818,2818,2097.71,2097.71,4443,4443,60.7,60.7,6164.95,6164.95,38.5,38.5,,,,2818,2097.71,4443,60.7,6164.95,38.5,
23,9,58.03,5,32.24,644.75,5338.49,9,9,644.75,644.75,5,5,32.24,32.24,5338.49,5338.49,58.03,58.03,,,,9,644.75,5,32.24,5338.49,58.03,
24,1,8.07,4,32.27,145.2,5461,1,1,145.2,145.2,4,4,32.27,32.27,5461,5461,8.07,8.07,,,,1,145.2,4,32.27,5461,8.07,
25,10,55.52,2,11.1,560.71,5618.16,10,10,560.71,560.71,2,2,11.1,11.1,5618.16,5618.16,55.52,55.52,,,,10,560.71,2,11.1,5618.16,55.52,
26,9,29.18,6,19.45,204.23,4869.19,9,9,204.23,204.23,6,6,19.45,19.45,4869.19,4869.19,29.18,29.18,,,,9,204.23,6,19.45,4869.19,29.18,
27,2,13.38,1,6.69,347.97,3693.79,2,2,347.97,347.97,1,1,6.69,6.69,3693.79,3693.79,13.38,13.38,,,,2,347.97,1,6.69,3693.79,13.38,
28,42,45.1,31,33.29,894.51,7091.62,42,42,894.51,894.51,31,31,33.29,33.29,7091.62,7091.62,45.1,45.1,,,,42,894.51,31,33.29,7091.62,45.1,
29,20,145.72,8,58.29,1143.9,9143.9,20,20,1143.9,1143.9,8,8,58.29,58.29,9143.9,9143.9,145.72,145.72,,,,20,1143.9,8,58.29,9143.9,145.72,
30,24,86.13,0,0,724.95,4421.48,24,24,724.95,724.95,0,0,0,0,4421.48,4421.48,86.13,86.13,,,,24,724.95,0,0,4421.48,86.13,
31,2,17.4,1,8.7,1487.34,4722.97,2,2,1487.34,1487.34,1,1,8.7,8.7,4722.97,4722.97,17.4,17.4,,,,2,1487.34,1,8.7,4722.97,17.4,
32,7,4.58,80,52.38,689.42,5948.83,7,7,689.42,689.42,80,80,52.38,52.38,5948.83,5948.83,4.58,4.58,,,,7,689.42,80,52.38,5948.83,4.58,
33,3,14.98,NA,NA,49.93,NA,3,3,49.93,49.93,0,96,0,23.16,2246.14,6324.43,14.98,14.98,,,,3,49.93,0,0,2246.14,14.98,
34,0,0,0,0,16.72,919.73,0,0,16.72,16.72,0,0,0,0,919.73,919.73,0,0,,,,0,16.72,0,0,919.73,0,
35,14,68.92,0,0,649.83,5764.78,14,14,649.83,649.83,0,0,0,0,5764.78,5764.78,68.92,68.92,,,,14,649.83,0,0,5764.78,68.92,
36,4,28.91,13,93.97,346.97,5255.17,4,4,346.97,346.97,13,13,93.97,93.97,5255.17,5255.17,28.91,28.91,,,,4,346.97,13,93.97,5255.17,28.91,
37,3,18.38,10,61.28,1770.94,11428.4,3,3,1770.94,1770.94,10,10,61.28,61.28,11428.4,11428.4,18.38,18.38,,,,3,1770.94,10,61.28,11428.4,18.38,
38,4,16.15,15,60.58,609.81,4458.44,4,4,609.81,609.81,15,15,60.58,60.58,4458.44,4458.44,16.15,16.15,,,,4,609.81,15,60.58,4458.44,16.15,
39,34,76.4,57,128.09,559.55,10379.78,34,34,559.55,559.55,57,57,128.09,128.09,10379.78,10379.78,76.4,76.4,,,,34,559.55,57,128.09,10379.78,76.4,
40,1,3.54,0,0,205.56,2810.46,1,1,205.56,205.56,0,0,0,0,2810.46,2810.46,3.54,3.54,,,,1,205.56,0,0,2810.46,3.54,
41,43,47.57,NA,NA,512.19,NA,43,43,512.19,512.19,0,3,0,41.69,2246.14,1786.74,47.57,47.57,,,,43,512.19,0,0,2246.14,47.57,
42,7,25.08,19,68.09,734.61,4672.83,7,7,734.61,734.61,19,19,68.09,68.09,4672.83,4672.83,25.08,25.08,,,,7,734.61,19,68.09,4672.83,25.08,
43,NA,NA,60,86.12,NA,6269.29,0,3,223.06,542.11,60,60,86.12,86.12,6269.29,6269.29,0,6.94,,,,0,223.06,60,86.12,6269.29,0,
44,37,66.7,26,46.87,919.33,5227.58,37,37,919.33,919.33,26,26,46.87,46.87,5227.58,5227.58,66.7,66.7,,,,37,919.33,26,46.87,5227.58,66.7,
45,7,43.81,9,56.33,682.23,7554.61,7,7,682.23,682.23,9,9,56.33,56.33,7554.61,7554.61,43.81,43.81,,,,7,682.23,9,56.33,7554.61,43.81,
46,9,13.15,14,20.45,131.47,2543.13,9,9,131.47,131.47,14,14,20.45,20.45,2543.13,2543.13,13.15,13.15,,,,9,131.47,14,20.45,2543.13,13.15,
47,5,20.8,3,12.48,794.41,5939.36,5,5,794.41,794.41,3,3,12.48,12.48,5939.36,5939.36,20.8,20.8,,,,5,794.41,3,12.48,5939.36,20.8,
48,1,7.38,8,59.08,420.91,5095.26,1,1,420.91,420.91,8,8,59.08,59.08,5095.26,5095.26,7.38,7.38,,,,1,420.91,8,59.08,5095.26,7.38,
49,NA,NA,13,20.18,NA,4869.53,0,0,223.06,874.44,13,13,20.18,20.18,4869.53,4869.53,0,48.89,,,,0,223.06,13,20.18,4869.53,0,
50,NA,NA,1,6.05,NA,3207.26,0,15,223.06,493.73,1,1,6.05,6.05,3207.26,3207.26,0,16.72,,,,0,223.06,1,6.05,3207.26,0,
51,9,41.81,1,4.65,92.91,3121.66,9,9,92.91,92.91,1,1,4.65,4.65,3121.66,3121.66,41.81,41.81,,,,9,92.91,1,4.65,3121.66,41.81,
52,8,24.03,14,42.05,1087.25,7394.5,8,8,1087.25,1087.25,14,14,42.05,42.05,7394.5,7394.5,24.03,24.03,,,,8,1087.25,14,42.05,7394.5,24.03,
53,2,13.97,0,0,237.45,1948.46,2,2,237.45,237.45,0,0,0,0,1948.46,1948.46,13.97,13.97,,,,2,237.45,0,0,1948.46,13.97,
54,16,46.03,3,8.63,212.87,6403.36,16,16,212.87,212.87,3,3,8.63,8.63,6403.36,6403.36,46.03,46.03,,,,16,212.87,3,8.63,6403.36,46.03,
55,357,110.19,357,110.19,984.96,7910.25,357,357,984.96,984.96,357,357,110.19,110.19,7910.25,7910.25,110.19,110.19,,,,357,984.96,357,110.19,7910.25,110.19,
56,785,51.31,2282,149.17,1279.6,5253.14,785,785,1279.6,1279.6,2282,2282,149.17,149.17,5253.14,5253.14,51.31,51.31,,,,785,1279.6,2282,149.17,5253.14,51.31,
57,11,12.82,0,0,256.34,2556.39,11,11,256.34,256.34,0,0,0,0,2556.39,2556.39,12.82,12.82,,,,11,256.34,0,0,2556.39,12.82,
58,10,31.02,0,0,142.7,4091.83,10,10,142.7,142.7,0,0,0,0,4091.83,4091.83,31.02,31.02,,,,10,142.7,0,0,4091.83,31.02,
59,45,67,50,74.45,753.42,4630.73,45,45,753.42,753.42,50,50,74.45,74.45,4630.73,4630.73,67,67,,,,45,753.42,50,74.45,4630.73,67,
60,0,0,5,21.91,122.69,2721.06,0,0,122.69,122.69,5,5,21.91,21.91,2721.06,2721.06,0,0,,,,0,122.69,5,21.91,2721.06,0,
61,15,50.34,3,10.07,1849.3,6474.24,15,15,1849.3,1849.3,3,3,10.07,10.07,6474.24,6474.24,50.34,50.34,,,,15,1849.3,3,10.07,6474.24,50.34,
62,33,28.5,93,80.33,566.64,NA,33,33,566.64,566.64,93,93,80.33,80.33,2246.14,8969.4,28.5,28.5,,,,33,566.64,93,80.33,2246.14,28.5,
63,NA,NA,4,15.77,NA,3012.5,0,5,223.06,697.28,4,4,15.77,15.77,3012.5,3012.5,0,19.07,,,,0,223.06,4,15.77,3012.5,0,
64,2,14.83,4,29.66,51.91,3374.37,2,2,51.91,51.91,4,4,29.66,29.66,3374.37,3374.37,14.83,14.83,,,,2,51.91,4,29.66,3374.37,14.83,
65,3,7.91,26,68.59,94.97,3498.22,3,3,94.97,94.97,26,26,68.59,68.59,3498.22,3498.22,7.91,7.91,,,,3,94.97,26,68.59,3498.22,7.91,
66,23,102.18,14,62.2,422.05,4567.06,23,23,422.05,422.05,14,14,62.2,62.2,4567.06,4567.06,102.18,102.18,,,,23,422.05,14,62.2,4567.06,102.18,
67,15,37.91,13,32.86,452.4,3389.19,15,15,452.4,452.4,13,13,32.86,32.86,3389.19,3389.19,37.91,37.91,,,,15,452.4,13,32.86,3389.19,37.91,
68,5,47.34,9,85.21,407.12,3739.82,5,5,407.12,407.12,9,9,85.21,85.21,3739.82,3739.82,47.34,47.34,,,,5,407.12,9,85.21,3739.82,47.34,
69,102,59.32,173,100.6,1693.42,6179.34,102,102,1693.42,1693.42,173,173,100.6,100.6,6179.34,6179.34,59.32,59.32,,,,102,1693.42,173,100.6,6179.34,59.32,
70,1,7.46,1,7.46,462.24,5956.91,1,1,462.24,462.24,1,1,7.46,7.46,5956.91,5956.91,7.46,7.46,,,,1,462.24,1,7.46,5956.91,7.46,
71,NA,NA,NA,NA,NA,NA,0,3,223.06,275.53,0,17,0,42.39,2246.14,7218.05,0,34.04,,,,0,223.06,0,0,2246.14,0,
72,3,13.82,2,9.21,115.14,2160.1,3,3,115.14,115.14,2,2,9.21,9.21,2160.1,2160.1,13.82,13.82,,,,3,115.14,2,9.21,2160.1,13.82,
73,4,13.68,1,3.42,78.65,3553.11,4,4,78.65,78.65,1,1,3.42,3.42,3553.11,3553.11,13.68,13.68,,,,4,78.65,1,3.42,3553.11,13.68,
74,8,63.04,1,7.88,985.03,4767.53,8,8,985.03,985.03,1,1,7.88,7.88,4767.53,4767.53,63.04,63.04,,,,8,985.03,1,7.88,4767.53,63.04,
75,13,14.89,5,5.73,131.68,3715.75,13,13,131.68,131.68,5,5,5.73,5.73,3715.75,3715.75,14.89,14.89,,,,13,131.68,5,5.73,3715.75,14.89,
76,NA,NA,3,5.54,NA,2395.42,0,16,223.06,137.89,3,3,5.54,5.54,2395.42,2395.42,0,77.47,,,,0,223.06,3,5.54,2395.42,0,
77,NA,NA,9,38.75,NA,3577.58,0,6,223.06,230,9,9,38.75,38.75,3577.58,3577.58,0,4.52,,,,0,223.06,9,38.75,3577.58,0,
78,11,72.14,7,45.9,1134.5,5292.15,11,11,1134.5,1134.5,7,7,45.9,45.9,5292.15,5292.15,72.14,72.14,,,,11,1134.5,7,45.9,5292.15,72.14,
79,314,69.78,162,36,969.6,9943.53,314,314,969.6,969.6,162,162,36,36,9943.53,9943.53,69.78,69.78,,,,314,969.6,162,36,9943.53,69.78,
80,5,20.94,7,29.31,251.24,3668.03,5,5,251.24,251.24,7,7,29.31,29.31,3668.03,3668.03,20.94,20.94,,,,5,251.24,7,29.31,3668.03,20.94,
81,7,57.36,5,40.97,934.12,5735.82,7,7,934.12,934.12,5,5,40.97,40.97,5735.82,5735.82,57.36,57.36,,,,7,934.12,5,40.97,5735.82,57.36,
82,31,148.32,9,43.06,377.97,4550.02,31,31,377.97,377.97,9,9,43.06,43.06,4550.02,4550.02,148.32,148.32,,,,31,377.97,9,43.06,4550.02,148.32,
83,6,53.92,3,26.96,889.65,2039.9,6,6,889.65,889.65,3,3,26.96,26.96,2039.9,2039.9,53.92,53.92,,,,6,889.65,3,26.96,2039.9,53.92,
84,1,5.74,3,17.23,40.21,1654.22,1,1,40.21,40.21,3,3,17.23,17.23,1654.22,1654.22,5.74,5.74,,,,1,40.21,3,17.23,1654.22,5.74,
85,NA,NA,7,38.56,NA,8642.72,0,1,223.06,367.13,7,7,38.56,38.56,8642.72,8642.72,0,52.11,,,,0,223.06,7,38.56,8642.72,0,
86,19,51.17,16,43.09,465.96,5063.56,19,19,465.96,465.96,16,16,43.09,43.09,5063.56,5063.56,51.17,51.17,,,,19,465.96,16,43.09,5063.56,51.17,
87,1,8.83,0,0,150.04,2338.92,1,1,150.04,150.04,0,0,0,0,2338.92,2338.92,8.83,8.83,,,,1,150.04,0,0,2338.92,8.83,
88,0,0,2,16.52,49.56,1032.55,0,0,49.56,49.56,2,2,16.52,16.52,1032.55,1032.55,0,0,,,,0,49.56,2,16.52,1032.55,0,
89,22,51.39,0,0,1812.62,3277.2,22,22,1812.62,1812.62,0,0,0,0,3277.2,3277.2,51.39,51.39,,,,22,1812.62,0,0,3277.2,51.39,
90,2,11.23,2,11.23,129.13,2094.09,2,2,129.13,129.13,2,2,11.23,11.23,2094.09,2094.09,11.23,11.23,,,,2,129.13,2,11.23,2094.09,11.23,
91,479,104.44,604,131.7,1841.38,9577.37,479,479,1841.38,1841.38,604,604,131.7,131.7,9577.37,9577.37,104.44,104.44,,,,479,1841.38,604,131.7,9577.37,104.44,
92,10,31.06,6,18.64,301.31,4038.14,10,10,301.31,301.31,6,6,18.64,18.64,4038.14,4038.14,31.06,31.06,,,,10,301.31,6,18.64,4038.14,31.06,
93,30,21.6,54,38.87,620.53,5352.95,30,30,620.53,620.53,54,54,38.87,38.87,5352.95,5352.95,21.6,21.6,,,,30,620.53,54,38.87,5352.95,21.6,
94,2,11.57,0,0,190.84,3302.11,2,2,190.84,190.84,0,0,0,0,3302.11,3302.11,11.57,11.57,,,,2,190.84,0,0,3302.11,11.57,
95,15,22.02,2,2.94,726.59,4174.62,15,15,726.59,726.59,2,2,2.94,2.94,4174.62,4174.62,22.02,22.02,,,,15,726.59,2,2.94,4174.62,22.02,
96,0,0,3,22.37,74.56,3183.72,0,0,74.56,74.56,3,3,22.37,22.37,3183.72,3183.72,0,0,,,,0,74.56,3,22.37,3183.72,0,
97,NA,NA,6,45.63,NA,1961.98,0,1000,223.06,214.31,6,6,45.63,45.63,1961.98,1961.98,0,12.95,,,,0,223.06,6,45.63,1961.98,0,
98,2,17,0,0,339.96,3739.59,2,2,339.96,339.96,0,0,0,0,3739.59,3739.59,17,17,,,,2,339.96,0,0,3739.59,17,
99,19,37.7,14,27.78,121.02,5247.7,19,19,121.02,121.02,14,14,27.78,27.78,5247.7,5247.7,37.7,37.7,,,,19,121.02,14,27.78,5247.7,37.7,
100,130,108.69,134,112.04,2127.02,10988.76,130,130,2127.02,2127.02,134,134,112.04,112.04,10988.76,10988.76,108.69,108.69,,,,130,2127.02,134,112.04,10988.76,108.69,
101,4,36.38,2,18.19,809.39,6620.59,4,4,809.39,809.39,2,2,18.19,18.19,6620.59,6620.59,36.38,36.38,,,,4,809.39,2,18.19,6620.59,36.38,
102,NA,NA,1,4.02,NA,6324.43,0,0,223.06,142.9,1,1,4.02,4.02,6324.43,6324.43,0,77.26,,,,0,223.06,1,4.02,6324.43,0,
103,2,9.72,1,4.86,199.2,2992.91,2,2,199.2,199.2,1,1,4.86,4.86,2992.91,2992.91,9.72,9.72,,,,2,199.2,1,4.86,2992.91,9.72,
104,5,47.14,1,9.43,1527.29,5317.24,5,5,1527.29,1527.29,1,1,9.43,9.43,5317.24,5317.24,47.14,47.14,,,,5,1527.29,1,9.43,5317.24,47.14,
105,1,3.04,3,9.13,85.17,2570.42,1,1,85.17,85.17,3,3,9.13,9.13,2570.42,2570.42,3.04,3.04,,,,1,85.17,3,9.13,2570.42,3.04,
106,21,32.38,16,24.67,727.83,4976.1,21,21,727.83,727.83,16,16,24.67,24.67,4976.1,4976.1,32.38,32.38,,,,21,727.83,16,24.67,4976.1,32.38,
107,9,42.11,16,74.86,781.32,7265.84,9,9,781.32,781.32,16,16,74.86,74.86,7265.84,7265.84,42.11,42.11,,,,9,781.32,16,74.86,7265.84,42.11,
108,0,0,7,39.54,367.13,3885.91,0,0,367.13,367.13,7,7,39.54,39.54,3885.91,3885.91,0,0,,,,0,367.13,7,39.54,3885.91,0,
109,19,33.52,10,17.64,155.25,5691.4,19,19,155.25,155.25,10,10,17.64,17.64,5691.4,5691.4,33.52,33.52,,,,19,155.25,10,17.64,5691.4,33.52,
110,41,320.61,14,109.48,1634.34,24116.36,41,41,1634.34,1634.34,14,14,109.48,109.48,24116.36,24116.36,320.61,320.61,,,,41,1634.34,14,109.48,24116.36,320.61,
111,1,3.81,2,7.61,251.23,2561.76,1,1,251.23,251.23,2,2,7.61,7.61,2561.76,2561.76,3.81,3.81,,,,1,251.23,2,7.61,2561.76,3.81,
112,5,14.35,16,45.92,367.33,5934.68,5,5,367.33,367.33,16,16,45.92,45.92,5934.68,5934.68,14.35,14.35,,,,5,367.33,16,45.92,5934.68,14.35,
113,3,16.99,1,5.66,560.56,4218.33,3,3,560.56,560.56,1,1,5.66,5.66,4218.33,4218.33,16.99,16.99,,,,3,560.56,1,5.66,4218.33,16.99,
114,137,100.91,30,22.1,1981.45,12349.83,137,137,1981.45,1981.45,30,30,22.1,22.1,12349.83,12349.83,100.91,100.91,,,,137,1981.45,30,22.1,12349.83,100.91,
115,0,0,1,8.39,83.89,5041.52,0,0,83.89,83.89,1,1,8.39,8.39,5041.52,5041.52,0,0,,,,0,83.89,1,8.39,5041.52,0,
116,2,13.29,3,19.93,39.87,6199.75,2,2,39.87,39.87,3,3,19.93,19.93,6199.75,6199.75,13.29,13.29,,,,2,39.87,3,19.93,6199.75,13.29,
117,NA,NA,2,19.08,NA,3673.66,0,4,223.06,887.29,2,2,19.08,19.08,3673.66,3673.66,0,77.15,,,,0,223.06,2,19.08,3673.66,0,
118,0,0,0,0,60.9,2243.88,0,0,60.9,60.9,0,0,0,0,2243.88,2243.88,0,0,,,,0,60.9,0,0,2243.88,0,
119,0,0,2,10.83,70.4,1348.5,0,0,70.4,70.4,2,2,10.83,10.83,1348.5,1348.5,0,0,,,,0,70.4,2,10.83,1348.5,0,
120,9,41.98,10,46.64,242.54,6436.57,9,9,242.54,242.54,10,10,46.64,46.64,6436.57,6436.57,41.98,41.98,,,,9,242.54,10,46.64,6436.57,41.98,
121,29,67.42,47,109.27,574.24,4296.38,29,29,574.24,574.24,47,47,109.27,109.27,4296.38,4296.38,67.42,67.42,,,,29,574.24,47,109.27,4296.38,67.42,
122,7,21.47,8,24.54,288.37,3647.57,7,7,288.37,288.37,8,8,24.54,24.54,3647.57,3647.57,21.47,21.47,,,,7,288.37,8,24.54,3647.57,21.47,
123,59,83.45,6,8.49,1497.92,7742.79,59,59,1497.92,1497.92,6,6,8.49,8.49,7742.79,7742.79,83.45,83.45,,,,59,1497.92,6,8.49,7742.79,83.45,
124,NA,NA,5,14.39,NA,4805.2,0,2,223.06,2344.68,5,5,14.39,14.39,4805.2,4805.2,0,43.97,,,,0,223.06,5,14.39,4805.2,0,
125,28,119.98,21,89.99,681.32,7241.72,28,28,681.32,681.32,21,21,89.99,89.99,7241.72,7241.72,119.98,119.98,,,,28,681.32,21,89.99,7241.72,119.98,
126,2,16.18,1,8.09,194.19,2330.29,2,2,194.19,194.19,1,1,8.09,8.09,2330.29,2330.29,16.18,16.18,,,,2,194.19,1,8.09,2330.29,16.18,
127,8,35.33,7,30.91,185.48,3978.98,8,8,185.48,185.48,7,7,30.91,30.91,3978.98,3978.98,35.33,35.33,,,,8,185.48,7,30.91,3978.98,35.33,
128,1773,51.15,5119,147.68,2414.77,6756.86,1773,1773,2414.77,2414.77,5119,5119,147.68,147.68,6756.86,6756.86,51.15,51.15,,,,1773,2414.77,5119,147.68,6756.86,51.15,
129,5,37.76,1,7.55,581.57,5188.82,5,5,581.57,581.57,1,1,7.55,7.55,5188.82,5188.82,37.76,37.76,,,,5,581.57,1,7.55,5188.82,37.76,
130,0,0,29,178.53,197,2074.61,0,0,197,197,29,29,178.53,178.53,2074.61,2074.61,0,0,,,,0,197,29,178.53,2074.61,0,
131,17,61.22,29,104.44,273.7,6766.78,17,17,273.7,273.7,29,29,104.44,104.44,6766.78,6766.78,61.22,61.22,,,,17,273.7,29,104.44,6766.78,61.22,
132,NA,NA,13,55.21,NA,4272.31,0,28,223.06,1770.94,13,13,55.21,55.21,4272.31,4272.31,0,48.53,,,,0,223.06,13,55.21,4272.31,0,
133,5,23.62,9,42.51,240.92,2078.51,5,5,240.92,240.92,9,9,42.51,42.51,2078.51,2078.51,23.62,23.62,,,,5,240.92,9,42.51,2078.51,23.62,
134,9,27.82,21,64.92,1085.11,3610.84,9,9,1085.11,1085.11,21,21,64.92,64.92,3610.84,3610.84,27.82,27.82,,,,9,1085.11,21,64.92,3610.84,27.82,
135,16,42.82,14,37.46,291.69,2860.66,16,16,291.69,291.69,14,14,37.46,37.46,2860.66,2860.66,42.82,42.82,,,,16,291.69,14,37.46,2860.66,42.82,
136,30,40.15,30,40.15,587.55,5753.71,30,30,587.55,587.55,30,30,40.15,40.15,5753.71,5753.71,40.15,40.15,,,,30,587.55,30,40.15,5753.71,40.15,
137,1,8.34,0,0,650.49,9215.24,1,1,650.49,650.49,0,0,0,0,9215.24,9215.24,8.34,8.34,,,,1,650.49,0,0,9215.24,8.34,
138,4,21.17,6,31.75,465.66,4402.58,4,4,465.66,465.66,6,6,31.75,31.75,4402.58,4402.58,21.17,21.17,,,,4,465.66,6,31.75,4402.58,21.17,
139,0,0,0,0,221.64,5411.19,0,0,221.64,221.64,0,0,0,0,5411.19,5411.19,0,0,,,,0,221.64,0,0,5411.19,0,
140,12,36.13,37,111.41,216.8,3824.15,12,12,216.8,216.8,37,37,111.41,111.41,3824.15,3824.15,36.13,36.13,,,,12,216.8,37,111.41,3824.15,36.13,
141,112,57.16,74,37.76,795.08,7383.29,112,112,795.08,795.08,74,74,37.76,37.76,7383.29,7383.29,57.16,57.16,,,,112,795.08,74,37.76,7383.29,57.16,
142,10,70.93,0,0,361.75,7653.57,10,10,361.75,361.75,0,0,0,0,7653.57,7653.57,70.93,70.93,,,,10,361.75,0,0,7653.57,70.93,
143,28,163.47,27,157.63,525.42,8762.92,28,28,525.42,525.42,27,27,157.63,157.63,8762.92,8762.92,163.47,163.47,,,,28,525.42,27,157.63,8762.92,163.47,
144,22,51.31,2,4.66,1462.29,6068.38,22,22,1462.29,1462.29,2,2,4.66,4.66,6068.38,6068.38,51.31,51.31,,,,22,1462.29,2,4.66,6068.38,51.31,
145,1,5.97,1,5.97,89.61,1153,1,1,89.61,89.61,1,1,5.97,5.97,1153,1153,5.97,5.97,,,,1,89.61,1,5.97,1153,5.97,
146,NA,NA,35,31.99,NA,4960.52,0,28,223.06,366.66,35,35,31.99,31.99,4960.52,4960.52,0,0,,,,0,223.06,35,31.99,4960.52,0,
147,40,133.72,31,103.63,227.32,3309.49,40,40,227.32,227.32,31,31,103.63,103.63,3309.49,3309.49,133.72,133.72,,,,40,227.32,31,103.63,3309.49,133.72,
148,20,141.32,7,49.46,2649.8,15920.01,20,20,2649.8,2649.8,7,7,49.46,49.46,15920.01,15920.01,141.32,141.32,,,,20,2649.8,7,49.46,15920.01,141.32,
149,0,0,1,7.75,46.52,806.39,0,0,46.52,46.52,1,1,7.75,7.75,806.39,806.39,0,0,,,,0,46.52,1,7.75,806.39,0,
150,1,6.78,0,0,74.62,4782.25,1,1,74.62,74.62,0,0,0,0,4782.25,4782.25,6.78,6.78,,,,1,74.62,0,0,4782.25,6.78,
151,23,40.64,7,12.37,871.02,4621.91,23,23,871.02,871.02,7,7,12.37,12.37,4621.91,4621.91,40.64,40.64,,,,23,871.02,7,12.37,4621.91,40.64,
152,1,3.38,6,20.26,185.69,2386.9,1,1,185.69,185.69,6,6,20.26,20.26,2386.9,2386.9,3.38,3.38,,,,1,185.69,6,20.26,2386.9,3.38,
153,NA,NA,338,243.28,NA,10343.04,0,2,223.06,168.57,338,338,243.28,243.28,10343.04,10343.04,0,58.13,,,,0,223.06,338,243.28,10343.04,0,
